"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
1,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0
0,1,3.375,0.625,0,0,3,27,5,2,0,8,0,7,16,0
0,1,3.375,0.625,0,0,3,27,5,2,0,8,0,7,16,0
14,1.6538461538,6.6538461538,0.8076923077,0,0,1,173,39,7,0,26,0,22,85,0
2,4.4,27.2,1.55,5,0,5,544,203,6,0,20,0,7,74,25
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
5,2.78125,16.15625,0.59375,1,0,3,517,76,12,0,32,0,21,126,3
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
9,1,2.625,0.5,0,0,3,42,7,4,0,16,0,15,36,0
2,1,2.5,0.5,0,0,3,30,5,2,0,12,0,11,24,0
56,4.6595744681,26.7872340426,1.7446808511,8,0,9,1259,115,8,7,47,0,14,160,72
2,2.4516129032,11.7741935484,0.4193548387,1,1,2,365,103,16,0,31,0,21,123,2
1,2,14,1,1,1,1,14,14,0,0,1,0,1,3,1
0,4,46,2,1,1,1,46,46,1,0,1,0,1,7,1
1,1,2.8571428571,0.5714285714,0,0,2,20,7,5,0,7,5,5,19,0
2,1,2.8571428571,0.5714285714,0,0,2,20,7,4,0,7,4,5,18,0
1,3.5652173913,21.6086956522,1.1304347826,6,1,2,497,85,9,0,23,0,15,95,12
43,2.4666666667,7.0666666667,0.8,2,1,5,106,62,3,21,15,0,11,33,10
0,10.4,60.6,0.6,8,2,3,303,230,12,0,5,0,5,64,24
0,10.5,52.5,0.5,4,2,2,210,139,7,0,4,0,4,41,8
0,4.5,19.25,0.5,4,2,3,77,50,3,0,4,0,4,30,12
0,5.25,21.5,0.5,4,2,3,86,57,4,0,4,0,4,32,12
0,4,18,0.5,2,2,3,72,57,2,0,4,0,4,21,6
