"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
0,1.1891891892,1.6216216216,0.4324324324,5,0,4,60,17,14,0,37,14,37,103,20
1,1,1,0.125,0,0,6,8,1,4,0,8,0,8,14,0
1,1.8181818182,2,1.4545454545,1,0,7,44,17,9,0,22,0,17,61,7
12,1.0909090909,1,1.1818181818,0,0,10,11,1,1,1,11,0,9,13,0
0,1.4166666667,1.5833333333,0.5,2,0,1,19,5,1,0,12,0,9,33,2
0,1.3636363636,1.6363636364,0.5454545455,2,0,1,18,5,1,0,11,0,9,30,2
1,1.1290322581,1.3548387097,0.5806451613,3,0,1,42,9,10,0,31,6,30,94,3
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
9,1,1,2,1,1,2,7,1,2,5,7,0,7,18,2
0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2,1,1,2,0,0,23,23,1,0,0,23,0,23,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,1.0714285714,1.0714285714,2.3571428571,0,2,14,15,2,6,0,14,0,8,16,0
0,1,1,1.3333333333,0,2,3,3,1,0,0,3,0,3,3,0
0,1,1,1.3333333333,0,2,3,3,1,0,0,3,0,3,3,0
0,1,1,2.4285714286,0,0,7,7,1,0,0,7,0,7,7,0
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0
0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0
0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0
1,1,1,3.0303030303,0,0,33,33,1,0,0,33,0,33,33,0
0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,2,2,1,0,0,2,0,2,2,0
0,1,1,1,0,0,3,3,1,0,0,3,0,3,3,0
2,1,1,1.8,0,0,5,5,1,4,0,5,4,5,5,0
4,1,1,0,0,0,1,1,1,5,1,1,5,1,2,0
0,1,1,0,1,1,1,1,1,1,0,1,1,1,2,1
0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0
0,1,1,3,0,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1.75,0,0,8,8,1,1,0,8,1,8,8,0
0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,1,1,1.75,0,0,16,16,1,0,0,16,0,16,16,0
0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
1,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,1,1,12,0,0,164,164,1,0,0,164,0,164,164,0
4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,1,5,0,0,0,1,5,5,1,0,1,1,1,1,0
4,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
5,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
