"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.9090909091,16.8181818182,2.5454545455,7,0,6,185,52,0,0,11,0,11,51,42
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
0,3,12,2,1,0,1,12,12,0,0,1,0,1,2,1
17,4,33.6666666667,2.3333333333,4,0,2,101,59,0,0,3,0,3,9,8
0,6.5,48,2.5,6,0,1,96,58,0,0,2,0,2,10,6
0,3.75,19.75,1.75,6,0,4,79,36,0,0,4,0,4,16,24
3,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0
43,4.0707964602,25.6504424779,1.7212389381,95,0,101,5797,269,112,0,226,112,226,1889,9595
1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,6.03125,31.09375,1.75,25,0,4,995,130,23,0,32,23,32,228,100
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
0,7.2,41.55,1.85,18,0,2,831,105,13,0,20,13,20,150,36
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,4.619047619,31.4761904762,1.7142857143,19,0,2,661,88,23,0,21,23,21,156,38
56,8.7916666667,49.7916666667,1.8333333333,33,0,6,1195,540,44,0,24,44,24,254,198
1,12.0833333333,68.4166666667,1.4583333333,57,0,5,1642,419,73,0,24,73,24,337,285
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,2.7333333333,17.5333333333,1.4,15,0,4,263,67,3,0,15,0,14,90,60
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,6.3913043478,27.6956521739,1.347826087,24,0,4,637,88,40,0,23,40,23,215,96
1,7,45.9191919192,2.2929292929,55,0,6,4546,557,98,0,99,98,99,1072,330
34,6.1428571429,30.8571428571,2.2142857143,27,0,3,432,104,37,0,14,37,14,158,81
0,9.1333333333,48.6666666667,2.2,26,0,3,730,144,22,0,15,22,15,174,78
6,9.4827586207,58.2413793103,1.8620689655,29,0,3,1689,345,74,0,29,74,29,400,87
1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
2,2,20.7142857143,1.7142857143,9,0,1,145,51,13,0,7,13,7,59,9
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
36,5.8756476684,39.3886010363,1.896373057,102,0,8,7602,694,111,0,193,111,193,2155,816
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,3.75,12.75,1.5,5,0,3,51,20,2,0,4,2,4,15,15
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
2,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
2,3.4444444444,17.3333333333,0.6666666667,6,0,1,156,93,3,0,9,0,9,37,6
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
1,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
5,3.9902912621,18.8834951456,1.6796116505,35,0,50,1945,242,58,0,103,58,103,452,1750
0,1,5,1,0,0,2,10,5,1,0,2,1,2,3,0
9,3.8076923077,21,2.1153846154,23,0,17,546,84,0,0,26,0,26,253,391
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
3,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
6,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
6,3.8,28.6,2.1,5,0,6,286,50,0,0,10,0,10,28,30
8,2.6956521739,16.6304347826,1.9565217391,26,0,39,765,60,1,0,46,1,46,278,1014
0,9,52.3,1.8,21,0,10,523,201,0,0,10,0,10,105,210
6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
9,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
21,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0
0,4.96,25.36,2.16,19,0,25,634,91,0,0,25,0,25,171,475
2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
0,7.875,37.125,2.25,18,0,8,297,149,0,0,8,0,8,46,144
1,3.1,15.35,2,14,0,20,307,28,0,0,20,0,20,163,280
5,4.1818181818,42.3636363636,3.4545454545,17,0,3,466,162,1,0,11,1,11,53,51
7,1.1428571429,19.1428571429,2.1428571429,7,0,7,134,53,0,0,7,0,7,47,49
5,1,1,1,0,0,1,1,1,6,0,1,6,1,1,0
15,1.075,12.5,2.2,27,0,32,500,149,0,0,40,0,40,125,864
7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,4.3235294118,21.4705882353,2.6176470588,11,0,4,730,171,2,0,34,2,34,157,44
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.8,22.35,2.6,16,0,6,447,57,0,0,20,0,20,159,96
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
3,2.8461538462,35.3076923077,1.9230769231,15,0,4,459,145,3,0,13,3,13,149,60
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
14,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
0,7,43,2,4,0,1,43,43,0,0,1,0,1,5,4
0,5,29,3,2,0,1,29,29,0,0,1,0,1,3,2
0,17.6,67.6,3.2,6,0,5,338,279,0,0,5,0,5,15,30
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
3,2.7037037037,25.8518518519,4.5185185185,7,0,2,698,279,0,0,27,0,27,90,14
0,2,15,1,3,0,1,15,15,0,0,1,0,1,5,3
5,9.8,36.4,1.8,10,0,4,182,95,14,0,5,14,5,25,40
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,1,10.7,1.8,8,0,7,107,31,0,0,10,0,10,42,56
2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
5,6.3,34.9,1.9,32,0,12,1047,252,9,0,30,9,30,214,384
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
10,5.2777777778,53.9444444444,2.7777777778,16,0,6,971,464,0,0,18,0,18,167,96
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
11,8.4,51,2,20,0,7,510,242,0,0,10,0,10,115,140
3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
14,3.2,21.6,1,11,0,2,108,39,2,0,5,2,5,54,22
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,1,23,2.4,6,0,5,115,43,0,0,5,0,5,17,30
14,4.2941176471,37.1176470588,1.9705882353,22,0,5,1262,213,3,0,34,3,34,268,110
