"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,24,3.5,0,0,1,48,24,0,0,2,0,2,3,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,1,8.1363636364,0.5454545455,0,0,22,179,11,0,0,22,0,22,22,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,1.25,9.5,2.5,0,0,4,38,14,0,0,4,0,4,4,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,1,7,0.75,0,0,4,28,9,0,0,4,0,4,4,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,1,7,2,0,0,2,14,10,0,0,2,0,2,2,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,1,7.5,1.25,0,0,4,30,10,0,0,4,0,4,4,0
0,3,84,0,0,0,1,84,84,0,0,1,0,1,1,0
0,12.6666666667,125,2.6666666667,0,0,1,375,244,0,0,3,0,3,5,0
0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
1,2.3333333333,20,2.6666666667,1,0,1,60,52,0,0,3,0,3,8,1
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,3,56,2,0,0,1,56,56,5,0,1,5,1,2,0
0,9,64.3333333333,1.3333333333,0,0,1,193,161,0,0,3,0,3,5,0
0,1.375,7.125,1.25,0,0,6,57,28,8,0,8,1,5,19,0
0,5.5,53,1.5,0,0,1,106,97,0,0,2,0,2,3,0
0,6.375,57.25,1.125,0,0,4,458,163,17,0,8,1,2,39,0
1,3,14,2,0,0,1,14,14,0,0,1,0,1,1,0
0,4.3529411765,34.2352941176,0.5294117647,3,0,10,582,166,8,0,17,0,7,77,30
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
0,1.6666666667,14,0.8333333333,0,0,2,84,41,6,0,6,1,5,20,0
1,10.8333333333,81.0833333333,1.4166666667,1,0,2,973,491,10,0,12,10,12,42,2
0,2.3333333333,9.8333333333,0.8333333333,1,0,2,59,30,3,0,6,1,5,16,2
0,5,93,2,0,0,1,93,93,0,0,1,0,1,1,0
0,1.3333333333,8.8333333333,0.8333333333,0,0,3,53,33,5,0,6,0,4,14,0
0,2.125,12.125,1.25,0,0,3,97,40,8,0,8,0,4,27,0
0,1.4,4,1,0,0,4,20,8,3,0,5,0,3,11,0
0,1,6.8,1.4,0,0,1,34,12,2,0,5,0,3,15,0
0,3.25,17.75,1.75,0,0,4,71,32,0,0,4,0,4,4,0
0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,1,3,3,1,0,1,1,1,1,0
0,1,9,2,0,0,1,9,9,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.6428571429,13.1666666667,2.3571428571,2,1,5,553,37,13,0,42,0,38,225,10
1,1.75,7.6666666667,2.5277777778,0,1,2,276,24,6,0,36,0,33,86,0
0,1.3333333333,4,0.3333333333,1,0,3,12,6,0,0,3,0,3,7,3
0,1.4166666667,6.3611111111,2.5277777778,1,1,2,229,27,1,0,36,0,34,105,2
0,1,1,2.7272727273,0,0,33,33,1,0,0,33,0,33,33,0
0,2.0606060606,19.9090909091,2.7272727273,0,0,33,657,51,0,0,33,0,33,33,0
1,64,719,4,0,0,1,719,719,0,1,1,0,1,1,0
0,1,1,1,0,0,2,2,1,0,0,2,0,2,2,0
0,1,6.5,1,0,0,2,13,11,0,0,2,0,2,2,0
1,2,20,4,0,0,1,20,20,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,1,8.7692307692,0.8461538462,0,0,13,114,32,2,0,13,0,6,13,0
0,1,7,0,0,0,1,7,7,5,0,1,5,1,1,0
0,2.8333333333,12.1666666667,1.1666666667,0,0,6,73,21,1,0,6,0,6,6,0
2,1.0322580645,2.6612903226,2.8709677419,0,1,33,165,10,0,2,62,0,31,91,0
4,1,1.0333333333,2.8333333333,0,0,30,31,2,0,1,30,0,30,30,0
1,1,1,0.5,0,0,2,2,1,0,1,2,0,2,2,0
