"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,1,1,1,0,0,3,3,1,4,0,3,4,3,3,0
0,1,1,1,0,0,19,19,1,8,0,19,8,19,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,8,8,1,0,0,8,0,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,5,5,1,12,0,5,12,5,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,1,1,1,0,0,6,6,1,1,0,6,1,6,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
17,5.75,31,1,4,0,3,124,117,7,0,4,7,4,23,12
36,1.8983050847,8.9830508475,1.0508474576,20,0,29,530,96,14,0,59,14,59,156,580
1,10.6666666667,84,2,18,0,1,252,220,9,0,3,9,3,36,18
7,9.5,65.3333333333,2,21,0,3,392,193,14,0,6,14,6,95,63
2,4.5,27.75,1.5,2,0,3,111,103,8,0,4,8,4,16,6
46,3.1212121212,17.0909090909,1.2727272727,9,0,16,1128,137,39,0,66,39,66,223,144
1,2,13.5,1.5,2,0,1,27,21,2,0,2,2,2,7,2
20,1,1,1,0,0,6,6,1,96,0,6,96,6,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.5769230769,12.0384615385,1.0384615385,3,0,10,313,94,0,0,26,0,26,107,30
3,1.75,6.5,1,3,0,4,26,17,1,0,4,1,4,9,12
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,3,10,0,2,0,1,10,10,0,0,1,0,1,3,2
0,4,18,2,2,0,1,18,18,1,0,1,1,1,3,2
14,3,37.8,0.6,3,0,1,189,141,2,0,5,2,5,15,3
13,3.8461538462,19.9230769231,1,4,0,8,259,171,2,0,13,2,13,56,32
24,1.75,11.95,1.5,11,0,8,239,35,6,0,20,6,20,62,88
