"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,2.3333333333,17.3333333333,1.6666666667,0,0,1,52,39,1,0,3,1,3,6,0
0,3.0833333333,18.75,2.4166666667,2,0,5,225,73,4,0,12,4,12,51,10
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,3.6,26.3333333333,2.0666666667,5,0,7,395,86,1,0,15,1,15,82,35
1,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.5,9.5,2,0,0,2,19,15,3,0,2,3,2,5,0
1,3,19,2,0,0,1,19,19,1,0,1,1,1,1,0
2,1,7,0,0,0,1,7,7,0,0,1,0,1,1,0
2,3.3076923077,21.8461538462,2.6923076923,1,0,2,284,98,7,0,13,7,13,52,2
7,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
0,1,9.6428571429,2.8571428571,16,0,14,135,22,0,0,14,0,14,87,224
4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
3,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,1.40625,7.75,1.375,3,0,24,248,30,0,0,32,0,32,145,72
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0
6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,1,7.5,1.75,2,0,4,30,15,0,0,4,0,4,10,8
2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
2,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0
3,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
2,1.5,10.2,2.6,0,0,10,102,31,0,0,10,0,10,10,0
6,1.7,11.8,1.8,2,0,4,118,25,2,0,10,2,10,21,8
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,7.7142857143,45.7142857143,2.2857142857,0,0,5,640,166,10,0,14,10,14,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.7027027027,20.9324324324,2.0405405405,30,0,8,1549,81,13,0,74,13,74,452,240
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0
1,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0
2,3.9375,24.6875,1.9375,11,0,1,790,107,10,0,32,10,32,215,11
2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,1.2,16.8,1.8,1,0,1,84,25,3,0,5,3,5,19,1
2,2,13,2.3333333333,0,0,1,39,17,3,0,3,3,3,8,0
0,1,12.5,1,5,0,1,25,21,0,0,2,0,2,8,5
1,2,36.6666666667,2.5,8,0,1,220,117,6,0,6,6,6,49,8
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,1,6.1666666667,2.5833333333,2,0,12,74,16,4,0,12,4,12,29,24
1,2.4642857143,22.7857142857,1.8571428571,9,0,1,638,107,0,0,28,0,28,249,9
1,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0
0,3.4,21.36,1.96,9,0,1,534,98,12,0,25,12,25,161,9
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,1,10.7777777778,2.3333333333,0,0,5,97,48,4,0,9,4,9,13,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
