"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,9,32.5714285714,1.4285714286,0,0,2,228,59,8,0,7,8,7,31,0
0,13,48.6666666667,1.3333333333,0,0,2,146,139,0,0,3,0,3,4,0
0,8.1363636364,45.1363636364,2.1818181818,1,0,2,993,215,5,0,22,5,22,91,2
1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12.75,46.5,1.5,0,0,2,186,157,0,0,4,0,4,6,0
2,14.3333333333,69,1.6666666667,1,0,3,414,230,11,0,6,11,6,36,3
2,1,55,2,1,0,3,440,190,11,0,8,11,8,35,3
0,9.3333333333,49,1.8888888889,2,0,9,441,190,0,0,9,0,9,36,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,28,2,0,0,1,28,28,5,0,1,5,1,5,0
2,10.2,46,1.8,2,0,2,230,110,3,0,5,3,5,17,4
0,29,116,1,1,0,1,116,116,1,0,1,1,1,2,1
1,1,58.5,1,1,0,2,117,116,0,0,2,0,2,3,2
1,6.5714285714,30.2142857143,2.9285714286,0,0,2,423,79,8,0,14,8,14,48,0
2,4,18.0555555556,1.1111111111,2,0,6,325,76,11,0,18,11,18,76,12
3,1,26.8571428571,1,1,0,7,188,85,0,0,7,0,7,54,7
1,1,1,1,0,0,1,1,1,7,0,1,7,1,1,0
5,9.25,49.25,1.125,5,0,2,394,123,28,0,8,28,8,86,10
0,8.0769230769,39.6923076923,1,4,0,13,516,94,17,0,13,17,13,114,52
0,2,8,2,0,0,1,8,8,0,0,1,0,1,1,0
3,1,11,1,1,0,2,44,30,0,0,4,0,4,15,2
1,1,41,1,2,0,3,123,61,0,0,3,0,3,20,6
0,6.0666666667,33.0666666667,1.6666666667,0,0,2,496,197,17,0,15,17,15,60,0
0,3,11.3333333333,1.3333333333,0,0,2,34,28,0,0,3,0,3,4,0
0,4,26,1.6666666667,0,0,2,78,66,0,0,3,0,3,4,0
