"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,31.6923076923,2.6923076923,19,0,9,412,82,2,0,13,2,13,72,171
0,1,14,1.5,2,0,2,28,18,2,0,2,2,2,7,4
0,1,23.5,1.5,6,0,2,47,36,2,0,2,2,2,13,12
0,1,12.5,1.5,3,0,2,25,19,1,0,2,1,2,6,6
0,1.6,18,2,14,0,3,90,45,0,0,5,0,5,34,42
0,1,37,1.5,7,0,2,74,63,2,0,2,2,2,12,14
1,2.1666666667,27,2.25,22,0,9,324,51,2,0,12,2,12,106,198
0,1,25.5,1.5,6,0,2,51,40,2,0,2,2,2,13,12
1,3,34,3,13,0,2,102,58,0,0,3,0,3,25,26
0,2,100.5,1.5,5,0,2,201,149,34,0,2,34,2,78,10
1,1.9302325581,16.2325581395,2.8372093023,17,0,31,698,58,1,0,43,1,43,224,527
0,1,11.5,1.5,2,0,2,23,13,2,0,2,2,2,7,4
0,1,10,2,2,0,1,10,10,0,0,1,0,1,3,2
6,1,29.1428571429,2.1428571429,18,0,7,204,45,0,0,7,0,7,62,126
0,1,10,2,2,0,1,10,10,0,0,1,0,1,3,2
0,1,6,1.5,1,0,2,12,8,0,0,2,0,2,3,2
2,1,21.3333333333,1.3333333333,6,0,2,64,31,3,0,3,3,3,16,12
1,1,14.5,3,4,0,2,29,16,0,0,2,0,2,9,8
0,3,30,1.5,4,0,2,60,48,2,0,2,2,2,12,8
0,2,13.3333333333,1.6666666667,2,0,1,40,15,0,0,3,0,3,9,2
0,14.5,109,1.5,12,0,2,218,182,5,0,2,5,2,33,24
1,1,25.6666666667,2.3333333333,12,0,3,231,111,0,0,9,0,9,50,36
0,1,16,1.5,3,0,2,32,26,1,0,2,1,2,6,6
0,2,21.9166666667,2.0833333333,24,0,8,263,68,2,0,12,2,12,97,192
0,3,53.5,1.5,9,0,2,107,78,4,0,2,4,2,24,18
1,2.8181818182,25.5454545455,2.1818181818,16,0,11,281,47,0,0,11,0,11,67,176
0,1,20.5,1.5,6,0,2,41,30,2,0,2,2,2,12,12
0,2,19.5,1.5,2,0,2,39,28,2,0,2,2,2,9,4
0,2.6,35.8,2.4,14,0,2,179,108,2,0,5,2,5,33,28
1,2.1739130435,22.2173913043,2.1739130435,30,0,17,511,66,0,0,23,0,23,129,510
0,1,15,1.5,4,0,2,30,19,2,0,2,2,2,9,8
1,1.5,28.25,2.5,9,0,3,113,64,0,0,4,0,4,23,27
0,3.1666666667,41.3333333333,2.5,17,0,2,248,85,2,0,6,2,6,64,34
2,2.0588235294,34,2.8823529412,25,0,8,578,144,0,0,17,0,17,105,200
0,3,34.5,1.5,9,0,2,69,62,1,0,2,1,2,13,18
1,4,39,3,9,0,1,39,39,0,0,1,0,1,12,9
0,1,8,1.5,1,0,2,16,10,1,0,2,1,2,4,2
0,1,8,2,3,0,1,8,8,0,0,1,0,1,4,3
0,1,250,1.5,7,0,2,500,436,11,0,2,11,2,47,14
1,2.3076923077,31.1153846154,2.5384615385,18,0,19,809,85,0,0,26,0,26,234,342
