"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
26,6.1428571429,27.4285714286,1.4285714286,4,0,3,192,116,0,0,7,0,7,19,12
13,1,12.8,1.4,5,0,3,64,18,15,0,5,15,5,17,15
5,1.5,18,1.75,4,0,3,72,52,3,0,4,3,4,16,12
0,1,6,2,1,0,2,12,7,5,0,2,5,2,3,2
0,3.7368421053,20.7894736842,2.2631578947,13,0,1,395,88,7,0,19,7,19,126,13
0,3.75,30.5,2.6666666667,12,0,2,366,234,57,0,12,57,12,104,24
5,3.2941176471,25.0588235294,3.1764705882,22,0,3,426,92,21,0,17,21,17,116,66
0,6,31,3,10,0,1,93,53,0,0,3,0,3,22,10
12,1.8,7.7,1.6,3,0,3,77,11,5,0,10,5,10,37,9
10,4.0714285714,23.2857142857,2.1785714286,16,0,2,652,91,36,0,28,36,28,192,32
2,1.6666666667,24,2.3333333333,3,0,1,72,38,2,0,3,2,3,11,3
3,3.2894736842,21.0789473684,1.7894736842,22,0,1,801,111,13,0,38,13,38,262,22
26,2.5,9.5,2,3,0,2,19,14,2,0,2,2,2,11,6
0,1,40.75,2,1,0,2,163,107,3,0,4,3,4,7,2
0,1,14,2.25,0,0,1,56,26,8,0,4,8,4,20,0
8,6.2222222222,28.8888888889,3.2222222222,11,0,3,260,81,6,0,9,6,9,53,33
2,6.2173913043,36.347826087,2.8260869565,25,0,1,836,209,27,0,23,27,23,220,25
14,1,86.8468468468,2.972972973,102,0,95,9640,450,12,0,111,12,111,1674,9690
1,5.8,27.8,2.6,22,0,3,417,120,18,0,15,18,15,151,66
0,2,16,3,2,0,1,16,16,0,0,1,0,1,3,2
1,5.7480916031,30.1603053435,2.4045801527,35,0,1,3951,249,92,0,131,92,131,887,35
0,2,21,3,2,0,1,21,21,1,0,1,1,1,5,2
1,5.6811594203,31.2753623188,2.768115942,38,0,2,2158,287,67,0,69,67,69,737,76
0,2,47,2.5,1,0,6,282,104,1,0,6,1,6,7,6
0,6.6,29,2.8,10,0,1,145,84,6,0,5,6,5,48,10
0,5.6666666667,22,1.6666666667,6,0,1,66,38,1,0,3,1,3,14,6
0,6.375,31.5,2.625,9,0,1,252,110,7,0,8,7,8,54,9
1,6.1428571429,37.6785714286,2.7857142857,40,0,1,1055,147,27,0,28,27,28,343,40
0,10.3333333333,56,3,11,0,1,168,156,2,0,3,2,3,36,11
0,6.5909090909,36.0454545455,2.2727272727,34,0,1,793,256,24,0,22,24,22,248,34
0,9,36.3333333333,2.6666666667,8,0,1,109,89,1,0,3,1,3,27,8
0,11,56.5,5.5,8,0,1,113,58,1,0,2,1,2,22,8
1,7.5833333333,35.0833333333,2.3333333333,17,0,1,421,143,27,0,12,27,12,148,17
0,10,54,3,7,0,1,54,54,1,0,1,1,1,23,7
0,8,44,3,8,0,1,44,44,1,0,1,1,1,22,8
0,5.6666666667,28.1666666667,2.1666666667,11,0,1,169,87,2,0,6,2,6,71,11
0,5.7727272727,29.9090909091,1.6818181818,21,0,1,658,111,10,0,22,10,22,186,21
0,6.5384615385,34.9230769231,2.4230769231,27,0,1,908,130,22,0,26,22,26,252,27
2,6.1052631579,33.7894736842,2.7894736842,22,0,1,642,92,15,0,19,15,19,189,22
1,5.7352941176,25.3529411765,2.8529411765,19,0,1,862,135,26,0,34,26,34,207,19
0,7.8333333333,35.1666666667,1.6666666667,8,0,1,211,84,11,0,6,11,6,58,8
0,5.5,24.5,3.25,12,0,1,98,57,8,0,4,8,4,44,12
0,5.2692307692,26.7307692308,2,25,0,1,1390,172,74,0,52,74,52,545,25
0,7.75,45.8333333333,2.1666666667,18,0,1,550,121,5,0,12,5,12,107,18
0,5.2916666667,30.0416666667,2.7291666667,34,0,1,1442,400,27,0,48,27,48,517,34
0,5.8823529412,30.8235294118,2,16,0,1,524,151,29,0,17,29,17,193,16
0,14.5,61,2.5,9,0,1,122,106,1,0,2,1,2,21,9
0,9.3333333333,48.3333333333,4.3333333333,14,0,1,145,59,7,0,3,7,3,37,14
0,6.1515151515,28.9090909091,1.6060606061,8,0,1,954,82,21,0,33,21,33,219,8
0,10.3333333333,47,3.1666666667,9,0,1,282,97,3,0,6,3,6,46,9
0,4.6,21.4,2.6,7,0,1,107,37,1,0,5,1,5,31,7
0,8.5,47,3,9,0,1,94,84,1,0,2,1,2,25,9
0,5.5,25,1.75,3,0,1,100,43,4,0,4,4,4,25,3
0,3,14,3,2,0,1,14,14,2,0,1,2,1,5,2
0,2.95,15.35,2.35,14,0,2,307,36,9,0,20,9,20,88,28
0,9,50.6666666667,2.3333333333,9,0,1,152,113,0,0,3,0,3,25,9
0,4.8,32.8,2.6,11,0,1,164,71,8,0,5,8,5,57,11
0,13.6666666667,70.6666666667,2.6666666667,10,0,1,212,177,2,0,3,2,3,28,10
1,9,44.6666666667,3.3333333333,14,0,1,268,85,8,0,6,8,6,68,14
3,6.734375,35.9375,2.15625,32,0,2,2300,166,101,0,64,101,64,625,64
1,4.0714285714,22.1428571429,1.5714285714,4,0,1,620,101,19,0,28,19,28,184,4
0,5.3333333333,24.6666666667,2.3333333333,6,0,1,148,71,1,0,6,1,6,22,6
0,4.3333333333,23,3,10,0,2,69,31,2,0,3,2,3,19,20
0,5.1666666667,24.3333333333,2,18,0,1,146,50,5,0,6,5,6,56,18
0,4.8666666667,23.7333333333,1.6666666667,13,0,1,356,65,15,0,15,15,15,100,13
0,5.8333333333,34.3333333333,2.5,13,0,1,206,141,5,0,6,5,6,69,13
