"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,5,29.625,1.625,0,0,1,237,51,1,0,8,1,8,17,0
1,1.125,9.5,1.125,0,0,3,152,19,8,0,16,8,16,61,0
1,1.5,15.1666666667,1.5833333333,2,0,3,182,32,5,0,12,5,12,35,6
2,2,14.5,2.5,0,0,1,29,15,2,0,2,2,2,5,0
1,1.9642857143,16.5357142857,1.8214285714,0,0,3,463,50,8,0,28,8,28,101,0
1,1.75,29.375,2.25,3,0,4,235,149,6,0,8,6,8,25,12
2,1.3333333333,24.3333333333,2.5555555556,1,0,3,219,91,0,0,9,0,9,18,3
2,4,44.625,2.125,2,0,2,357,84,0,0,8,0,8,33,4
2,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0
5,2.2857142857,19.25,1.5357142857,1,0,4,539,168,3,0,28,3,28,131,4
1,1.6666666667,9,1.3333333333,1,0,5,54,29,2,0,6,2,6,8,5
1,4.3076923077,42.7115384615,2.2307692308,8,0,6,2221,283,67,0,52,67,52,528,48
2,4.1486486486,39.7972972973,2.4054054054,8,0,6,2945,291,71,0,74,71,74,685,48
2,2,16.3125,2.25,1,0,7,261,47,6,0,16,6,16,53,7
4,1,35,1.5714285714,2,0,5,245,70,6,0,7,6,7,27,10
5,2.6326530612,20.3367346939,1.7857142857,4,0,9,1993,142,53,0,98,53,98,401,36
0,4,22,1,0,0,1,22,22,0,0,1,0,1,1,0
1,1.6666666667,12.8333333333,1.6666666667,2,0,4,231,49,7,0,18,7,18,56,8
3,1.2941176471,13.1764705882,1.6470588235,2,0,4,224,50,6,0,17,6,17,48,8
0,3.0833333333,24.3333333333,2,5,0,4,292,86,8,0,12,8,12,42,20
0,3.75,27.5625,2.1875,4,0,5,441,72,10,0,16,10,16,43,20
0,2.1818181818,17,1.9090909091,4,0,3,187,40,0,0,11,0,11,40,12
8,1.75,11.75,3,0,0,6,94,33,22,0,8,22,8,24,0
0,3.4,18.7,2.25,2,0,4,374,47,14,0,20,14,20,94,8
0,1.7142857143,14.4285714286,2.1428571429,5,0,4,101,46,2,0,7,2,7,23,20
12,1.3823529412,12.3529411765,2.2647058824,1,0,21,420,41,3,0,34,3,34,105,21
2,2.375,20.875,2,3,0,4,501,61,12,0,24,12,24,80,12
7,1.5454545455,15.8181818182,2.0909090909,0,0,6,174,39,15,0,11,15,11,33,0
4,2.2631578947,22.3684210526,2.3947368421,0,0,3,850,69,19,0,38,19,38,174,0
1,1,16.5,1,0,0,2,33,25,0,0,2,0,2,2,0
1,2.5,27.5,2.25,1,0,1,110,51,8,0,4,8,4,22,1
1,4.5,48,3.5,2,0,1,96,83,0,0,2,0,2,6,2
0,1,1,4,0,0,1,1,1,0,0,1,0,1,1,0
9,4,35.8,1.2,1,0,1,179,81,5,0,5,5,5,19,1
2,1,7,4,0,0,2,14,13,0,0,2,0,2,2,0
4,1,9.25,1.375,0,0,7,74,27,0,0,8,0,8,9,0
9,1,36.5,1,0,0,2,73,57,0,0,2,0,2,2,0
3,1.8888888889,14.0555555556,2.5555555556,0,0,6,253,68,6,0,18,6,18,37,0
0,46,239,2,5,0,1,239,239,0,0,1,0,1,15,5
0,2.9166666667,27.4791666667,2.2291666667,0,0,1,1319,270,6,0,48,6,48,183,0
1,2,23.3333333333,2,4,0,4,560,120,24,0,24,24,24,119,16
0,3.3333333333,40,2.3333333333,7,0,1,120,87,4,0,3,4,3,22,7
1,1,22.4444444444,1.8888888889,2,0,5,202,75,9,0,9,9,9,32,10
2,3.6666666667,23.3333333333,2,3,0,2,70,30,0,0,3,0,3,7,6
2,2.4666666667,32.7166666667,2.0333333333,19,0,3,1963,478,37,0,60,37,60,414,57
0,1,97,2,0,0,1,97,97,0,0,1,0,1,1,0
0,3.5945945946,27.7567567568,1.9189189189,6,0,15,1027,147,2,0,37,2,37,89,90
1,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0
7,1.2,8.6666666667,1.3333333333,2,0,5,130,30,0,0,15,0,15,28,10
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
6,1.2,6.5,1.4,2,0,8,65,24,1,0,10,1,10,16,16
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,1.8333333333,21.8333333333,2.3333333333,5,0,13,393,75,0,0,18,0,18,32,65
0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1.875,13.5,1.25,2,0,5,108,37,0,0,8,0,8,22,10
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
