"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
20,1,48.1621621622,2.0810810811,18,0,12,1782,304,62,0,37,62,37,271,216
1,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
2,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0
1,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
17,5.75,28.375,2.5,7,0,3,227,54,7,0,8,7,8,51,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,4,1,0,0,1,4,4,14,0,1,14,1,2,0
8,3,18.5714285714,1.7142857143,0,0,1,130,41,15,0,7,15,7,33,0
7,0,0,0,0,0,0,0,0,61,0,0,61,0,0,0
6,5.2962962963,45.5555555556,2.8888888889,13,0,1,1230,180,1,0,27,1,27,190,13
2,3.55,34.55,3.65,5,0,8,691,85,1,0,20,1,20,80,40
5,2,11,1.25,2,0,1,44,18,6,0,4,6,4,19,2
0,2,8,2,0,0,1,8,8,1,0,1,1,1,2,0
7,1.9047619048,23.4761904762,2.619047619,8,0,12,493,109,1,0,21,1,21,83,96
9,1.5833333333,28.4166666667,3.0833333333,4,0,6,341,83,0,0,12,0,12,28,24
0,4.1666666667,21.0555555556,2.3333333333,4,0,9,379,63,0,0,18,0,18,119,36
1,10.625,44.125,3.5,4,0,3,353,236,10,0,8,10,8,47,12
2,1.2857142857,24.4285714286,2,3,0,6,171,37,0,0,7,0,7,17,18
4,1,58.3333333333,2.3333333333,5,0,2,175,110,25,0,3,25,3,21,10
3,1.1,5.7,1.3,0,0,1,57,7,4,0,10,4,10,32,0
5,2.65,12.2,2,2,0,6,244,57,4,0,20,4,20,64,12
6,2.3333333333,14.5555555556,1.4444444444,4,0,2,131,45,0,0,9,0,9,24,8
3,2.1666666667,24.1666666667,1.8333333333,1,0,4,145,64,0,0,6,0,6,11,4
15,1.8,9.6,1.8,1,0,1,96,31,5,0,10,5,10,26,1
8,1.6666666667,14.6666666667,1.8888888889,2,0,1,132,37,9,0,9,9,9,46,2
4,8.1428571429,107.5714285714,3.2857142857,11,0,1,753,313,0,0,7,0,7,106,11
0,14.2,54.2,3,10,0,2,542,304,0,0,10,0,10,43,20
16,6.5098039216,35.5196078431,2.6176470588,20,0,77,3623,313,59,0,102,59,102,495,1540
