"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
10,1,4,1,1,0,7,28,4,0,0,7,0,7,14,7
4,3.2307692308,45.6923076923,2.5384615385,11,0,3,594,228,0,0,13,0,13,63,33
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
20,6,21,2.75,5,0,1,84,49,2,0,4,2,4,17,5
6,6,27,2,1,0,1,27,27,0,0,1,0,1,2,1
1,4,14,2,0,0,1,28,14,2,0,2,2,2,6,0
2,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
118,5.1666666667,37,2.3888888889,5,0,5,666,252,14,0,18,14,18,94,25
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
8,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
1,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0
155,8.4285714286,46.0238095238,3.5595238095,70,0,60,3866,924,11,0,84,11,84,776,4200
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
29,5,27.75,1.5,1,0,3,111,99,3,0,4,3,4,26,3
30,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0
0,5.6,59.2,1.2,5,0,1,296,246,0,0,5,0,5,18,5
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0
2,0,0,0,0,0,0,0,0,53,0,0,53,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
0,6,14,1,2,0,1,28,14,1,0,2,1,2,10,2
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0
89,4.6666666667,30.1666666667,2,4,0,1,181,70,6,0,6,6,6,56,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.7894736842,23.1578947368,1.6578947368,9,0,12,880,160,14,0,38,14,38,151,108
0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0
2,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0
3,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
