"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
58,10.4705882353,60.8235294118,1.6470588235,39,0,14,2068,774,50,0,34,50,34,323,546
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,7.4,53.4,2.4,14,0,4,267,99,2,0,5,2,5,50,56
0,8,45.125,1.5,18,0,4,361,110,3,0,8,3,8,74,72
0,19.3333333333,101.6666666667,1.3333333333,15,0,3,305,287,1,0,3,1,3,47,45
0,8.8461538462,45.8461538462,2,19,0,5,596,162,4,0,13,4,13,113,95
1,12,60.75,2.25,10,0,2,243,94,3,0,4,3,4,48,20
0,20,113,1.3333333333,14,0,2,339,248,7,0,3,7,3,65,28
0,21.2666666667,115.4666666667,2.2,35,0,4,1732,576,31,0,15,31,15,277,140
0,14.25,64,1.25,5,0,2,256,138,0,0,4,0,4,36,10
0,23,144.3333333333,1.3333333333,14,0,2,433,234,5,0,3,5,3,53,28
0,9.6666666667,57.3333333333,1.3333333333,10,0,3,172,127,1,0,3,1,3,41,30
8,23.5714285714,145.2857142857,1.5714285714,45,0,4,1017,755,9,0,7,9,7,111,180
0,6,51,0,11,0,1,51,51,0,0,1,0,1,16,11
0,6,68,2,3,0,1,68,68,0,0,1,0,1,8,3
0,4,30,2,1,0,1,30,30,0,0,1,0,1,2,1
1,3.5,19,2.5,3,0,1,38,31,1,0,2,1,2,9,3
1,1.6,11,1.4,8,1,1,55,19,1,0,5,0,5,31,8
18,1.6,7,1.84,20,0,14,175,51,7,1,25,3,24,71,280
5,1.65,6.6,0.85,6,0,5,132,20,2,0,20,0,20,65,30
3,1.7333333333,9.2,0.7333333333,6,0,4,138,32,1,0,15,0,15,43,24
0,1.375,4.7083333333,0.5,4,0,3,113,24,10,0,24,0,24,71,12
0,1.8,12.2,2,7,1,4,61,35,3,0,5,0,5,22,28
1,1.3333333333,11.3333333333,1.6666666667,6,1,3,34,25,2,0,3,0,3,15,18
1,1.25,8.75,1.5,6,1,3,35,20,4,0,4,0,4,17,18
0,1.6,9,1.6,7,1,3,45,19,2,0,5,0,5,26,21
2,1.3157894737,5.1578947368,1.9473684211,3,1,19,98,33,3,0,19,3,19,27,57
13,1.2727272727,6.3636363636,0.4090909091,3,0,1,140,20,13,0,22,4,22,72,3
0,1.2,6.3,0.9,2,0,4,63,17,4,0,10,1,10,28,8
1,1.5454545455,5.6363636364,0.3636363636,0,0,4,62,15,1,0,11,0,11,19,0
0,1.6,8.6,1.4,6,1,3,43,16,1,0,5,0,5,21,18
4,1.0714285714,4.3571428571,1,5,0,3,61,9,2,0,14,0,14,43,15
1,1,2.75,0.25,0,0,3,22,3,1,0,8,0,8,14,0
1,1.375,6.5,0.625,4,0,4,52,24,3,1,8,0,8,20,16
0,1,3.6666666667,0.3333333333,0,1,3,11,4,1,0,3,0,3,4,0
