"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,5,41,4,5,0,1,41,41,0,0,1,0,1,8,5
0,1,1,2,0,0,24,24,1,0,0,24,0,24,24,0
11,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0
3,1,54.5,3,0,0,1,109,104,0,0,2,0,2,3,0
5,15.5,109,4,8,0,1,218,186,0,0,2,0,2,15,8
2,2.5,16.5,4.5,7,0,1,33,29,0,0,2,0,2,11,7
0,12.5,88.5,3,2,0,2,177,93,0,0,2,0,2,5,4
7,2.2,12.4,1.6,4,0,3,62,27,0,0,5,0,5,21,12
2,5,39,2,1,0,1,39,39,0,0,1,0,1,2,1
1,4,23,2,0,0,1,23,23,0,0,1,0,1,1,0
1,1,5,1,0,0,1,5,5,0,0,1,0,1,1,0
2,5,23,1,1,0,1,23,23,0,0,1,0,1,2,1
0,7,36,1,2,0,1,36,36,0,0,1,0,1,3,2
5,1,5,1,1,0,1,5,5,0,0,1,0,1,2,1
1,11,70,4,15,0,1,140,117,1,0,2,1,2,24,15
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
12,1.6913580247,14.5185185185,1.6172839506,29,0,17,1176,126,6,0,81,6,81,474,493
5,6,72.5,2.75,1,0,2,290,104,0,0,4,0,4,7,2
1,10,77,4,8,0,1,77,77,0,0,1,0,1,12,8
0,8,53,5,10,0,1,53,53,0,0,1,0,1,14,10
5,5.4,45.6,4.6,8,0,1,228,93,1,0,5,1,5,40,8
0,2,9,1,0,0,1,9,9,0,0,1,0,1,1,0
2,1,11,2,1,0,2,22,11,0,0,2,0,2,4,2
0,8,84,2,11,0,1,84,84,0,0,1,0,1,16,11
0,15,65,3,2,0,1,65,65,0,0,1,0,1,3,2
4,5,43,4,4,0,1,43,43,0,0,1,0,1,6,4
5,4,20,1,1,0,1,20,20,0,0,1,0,1,2,1
8,1,1,1,0,0,13,13,1,5,0,13,5,13,13,0
0,7.5714285714,51,3.1428571429,9,0,5,357,128,3,0,7,3,7,63,45
1,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0
0,1,1,4.5,0,0,2,2,1,2,0,2,2,2,2,0
0,1,18,1,4,0,2,36,21,0,0,2,0,2,8,8
0,1,12,1,0,0,1,12,12,2,0,1,2,1,1,0
3,1.2,11.7,3,1,0,3,117,47,6,0,10,6,10,24,3
0,5,34.6666666667,1.3333333333,5,0,1,104,96,0,0,3,0,3,10,5
0,1,18.5,3.5,0,0,2,37,21,1,0,2,1,2,2,0
2,1,49.5,3.5,0,0,2,99,55,2,0,2,2,2,2,0
1,2,61.5,4,0,0,1,369,130,6,0,6,6,6,17,0
0,7.5,49.5,3.5,1,0,2,99,59,0,0,2,0,2,3,2
0,1.3,3,1,4,0,20,60,21,1,0,20,1,20,26,80
0,6.6666666667,54,3.2222222222,2,0,9,486,130,10,0,9,10,9,12,18
146,1.1,2.5,1.7,0,0,10,25,6,1,0,10,1,10,10,0
0,1,1,1,0,0,6,6,1,8,0,6,8,6,6,0
0,1,1.0857142857,2,1,0,70,76,7,5,0,70,5,70,71,70
0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4.5972222222,29.4166666667,2.3472222222,43,0,38,2118,184,4,0,72,4,72,316,1634
1,1.1428571429,23.2857142857,3,7,0,1,163,85,0,0,7,0,7,30,7
0,1,49,2,6,0,1,49,49,0,0,1,0,1,23,6
