"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
2,4,30.1,1.1,14,0,6,301,98,3,0,10,3,10,58,84
0,2.5,23,1.5,7,0,2,46,30,3,0,2,3,2,16,14
0,3.3333333333,27.8333333333,1.5,10,0,4,167,60,14,0,6,14,6,49,40
0,1.0869565217,5.8695652174,1,8,0,23,135,23,28,0,23,28,23,39,184
0,1.05,6.75,1.6,5,0,13,135,27,1,0,20,1,20,47,65
0,1,5.6666666667,1.6666666667,3,0,13,102,19,1,0,18,1,18,38,39
0,1.1304347826,6.3043478261,1.3043478261,3,0,16,145,21,3,0,23,3,23,51,48
0,1.0869565217,7.5652173913,1.3043478261,3,0,16,174,37,3,0,23,3,23,58,48
0,1.0869565217,6,1.3043478261,3,0,16,138,21,3,0,23,3,23,50,48
0,1.0869565217,6.3043478261,1.3043478261,3,0,16,145,21,3,0,23,3,23,51,48
0,1,3.6666666667,1,1,0,6,22,8,1,0,6,1,6,10,6
0,1.1666666667,6.5555555556,1.3333333333,3,0,12,118,21,3,0,18,3,18,44,36
0,1.1304347826,6.2608695652,1.3043478261,3,0,16,144,21,3,0,23,3,23,51,48
0,1.1304347826,6.2608695652,1.3043478261,3,0,16,144,21,3,0,23,3,23,51,48
0,1.1304347826,6.2608695652,1.3043478261,3,0,16,144,21,3,0,23,3,23,51,48
2,1.1481481481,7.4814814815,1.2592592593,4,0,16,202,33,3,0,27,3,27,77,64
0,1.1052631579,6.2631578947,1.3157894737,4,0,12,119,21,3,0,19,3,19,46,48
0,1.2222222222,9.1111111111,1.6666666667,3,0,13,164,71,1,0,18,1,18,49,39
0,1.1739130435,6.2608695652,1.3043478261,2,0,16,144,21,3,0,23,3,23,49,32
0,1.2272727273,7.8636363636,1.5454545455,6,0,15,173,27,1,0,22,1,22,69,90
0,1.1111111111,9.2962962963,1.2592592593,5,0,18,251,40,3,0,27,3,27,82,90
0,1.1875,9.90625,1.21875,9,0,21,317,29,3,0,32,3,32,101,189
14,5.25,34.125,3.125,4,0,2,273,77,13,0,8,13,8,63,8
4,3.5882352941,29.4117647059,2.9411764706,10,0,3,500,89,16,0,17,16,17,117,30
0,1.1818181818,6.7272727273,1,5,0,8,74,30,2,0,11,2,11,25,40
0,1,8.8571428571,1.0952380952,4,0,14,186,26,0,0,21,0,21,38,56
0,2.2705882353,14.2941176471,1.1529411765,10,0,56,1215,147,1,0,85,1,85,203,560
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,3.9104477612,34.7462686567,1.6119402985,43,0,28,2328,128,15,0,67,15,67,528,1204
0,2.25,16.25,1,6,0,3,65,33,3,0,4,3,4,17,18
2,4.2857142857,29.7142857143,1.4285714286,11,0,3,208,66,14,0,7,14,7,55,33
0,2.5,25,1.5,2,0,2,50,30,1,0,2,1,2,5,4
0,1.6666666667,13.3333333333,1.6666666667,2,0,1,40,29,3,0,3,3,3,11,2
0,3.35,40.25,2.45,37,0,4,805,131,11,0,20,11,20,192,148
0,10.8666666667,80.0666666667,1.6666666667,4,0,3,1201,1033,4,0,15,4,15,60,12
10,5.3,28.4,1.3,6,0,16,568,360,3,0,20,3,20,37,96
0,27,333,5,3,0,1,333,333,0,0,1,0,1,6,3
1,1,13,2,0,0,1,13,13,1,0,1,1,1,1,0
4,1,13,2,0,0,1,13,13,1,0,1,1,1,1,0
3,3.5714285714,39.8571428571,2.1428571429,8,0,6,279,121,9,0,7,9,7,38,48
1,7.2,46.6,1,2,0,2,233,121,4,0,5,4,5,22,4
0,3.7142857143,25.1428571429,1.2857142857,3,0,5,176,67,0,0,7,0,7,15,15
1,3.0434782609,20.6086956522,1.1739130435,7,0,15,474,162,5,0,23,5,23,64,105
4,4.5555555556,39.7777777778,1.3703703704,17,0,13,1074,194,18,0,27,18,27,174,221
1,1.9444444444,15.4722222222,1.2638888889,16,0,50,1114,95,0,0,72,0,72,183,800
2,3.0454545455,18.2272727273,1.9090909091,9,0,19,401,55,12,0,22,12,22,57,171
12,3.25,21.625,1.6666666667,11,0,10,519,83,30,0,24,30,24,108,110
0,7.5,41.5,1,5,0,4,166,93,0,0,4,0,4,11,20
0,4.1333333333,32.5333333333,1.0666666667,7,0,13,488,188,2,0,15,2,15,63,91
12,1.625,9.575,1,4,0,38,383,48,1,0,40,1,40,68,152
3,1,19.5555555556,1.8333333333,5,0,10,352,55,0,0,18,0,18,42,50
0,3,20.84,1.24,10,0,17,521,162,3,0,25,3,25,75,170
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,3.976744186,19.7209302326,1.3488372093,11,0,19,848,237,4,0,43,4,43,114,209
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,5,39.5,1,5,0,2,79,78,1,0,2,1,2,13,10
7,3.3913043478,21.7826086957,1.4347826087,12,0,11,501,161,3,0,23,3,23,94,132
1,1.4516129032,8.7741935484,1.0967741935,6,0,17,272,34,0,0,31,0,31,68,102
4,3.6153846154,24.3846153846,2,8,0,5,317,144,11,0,13,11,13,51,40
9,2,21.5769230769,1.4615384615,14,0,13,561,105,32,0,26,32,26,90,182
0,3.6896551724,22.2068965517,1.3448275862,13,0,17,644,155,2,0,29,2,29,113,221
1,10.5,56.5,1,7,0,8,452,321,4,0,8,4,8,44,56
6,2,11.3333333333,1.1333333333,9,0,43,510,104,1,0,45,1,45,88,387
14,5.4545454545,37.2727272727,2.3636363636,10,0,4,410,94,23,0,11,23,11,77,40
7,2.5,14,1.6666666667,3,0,5,84,29,5,0,6,5,6,21,15
0,5,39.1428571429,1.7857142857,17,0,4,548,110,18,0,14,18,14,129,68
0,5,53.2857142857,1.2857142857,15,0,5,373,146,19,0,7,19,7,107,75
0,2.5,13,1,6,0,2,26,25,0,0,2,0,2,12,12
0,4.6666666667,56,1.3333333333,7,0,2,168,153,3,0,3,3,3,24,14
