"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,6,33.5,2,4,0,2,67,60,0,0,2,0,2,8,8
0,3,16,1,4,0,1,16,16,2,0,1,2,1,8,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,17,1.8,8,0,5,85,27,4,0,5,4,5,17,40
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,2.3333333333,13.6666666667,2.1111111111,8,0,9,123,27,5,0,9,5,9,22,72
0,3,16.4285714286,1.8571428571,8,0,6,115,27,4,0,7,4,7,20,48
0,8,65,2,10,0,1,65,65,0,0,1,0,1,17,10
0,2,9.3333333333,2,8,0,3,28,16,3,0,3,3,3,15,24
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,46,0,0,46,0,0,0
277,4.1300813008,19.3739837398,2.1138211382,32,0,7,2383,80,40,0,123,40,123,819,224
12,2.1,11.4,1.1,3,0,6,114,24,1,0,10,1,10,37,18
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
2,4,29,2,5,0,2,58,29,0,0,2,0,2,14,10
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
7,10.8101265823,45.7341772152,2.1518987342,34,0,4,3613,182,4,0,79,4,79,623,136
0,2.2,8.6,2,2,0,5,43,13,0,0,5,0,5,8,10
3,3.6296296296,16.6574074074,2.5277777778,56,0,100,1799,176,10,0,108,10,108,531,5600
3,1.7,6.3,1.8,8,0,10,63,13,6,0,10,6,10,27,80
9,3.8275862069,17.7155172414,2.1896551724,27,0,72,2055,168,9,0,116,9,116,493,1944
0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
4,3.2592592593,11.6296296296,2.4814814815,7,0,26,314,39,13,0,27,13,27,57,182
117,4.6224489796,19.806122449,2.1734693878,31,0,68,1941,174,21,0,98,21,98,441,2108
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
4,2.0833333333,10.75,1.5,7,0,12,129,48,2,0,12,2,12,32,84
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,10.55,65.25,2.4,46,0,19,3915,2379,14,0,60,14,60,534,874
5,2.7575757576,13.3636363636,1.8181818182,20,0,24,441,51,8,0,33,8,33,137,480
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113,1,3,1,0,0,4,12,5,11,0,4,11,4,4,0
5,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0
