"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,2.2857142857,18.8571428571,3.1428571429,14,0,1,132,48,2,0,7,2,7,44,14
1,2.75,53,2,0,0,1,212,155,0,0,4,0,4,7,0
1,5.8571428571,60.5714285714,2.2857142857,1,0,1,424,155,0,0,7,0,7,19,1
1,4.25,49,2,1,0,1,196,71,0,0,4,0,4,8,1
1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
1,1,4,2,0,0,1,4,4,0,0,1,0,1,1,0
0,1,11.6428571429,5.1428571429,2,0,1,163,31,0,0,14,0,14,30,2
0,4.8333333333,47,1.3333333333,0,0,1,564,121,5,0,12,5,12,41,0
0,5,45.2857142857,2.2857142857,4,0,1,317,98,5,0,7,5,7,31,4
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,1.3,4.8,0.9,0,0,5,48,15,6,0,10,0,8,21,0
0,1.6666666667,23.6666666667,0,1,0,1,71,30,0,0,3,0,3,7,1
4,2.4,13,0.8,0,0,2,65,26,2,1,5,0,4,10,0
0,3.5,22.25,6,0,0,2,89,60,1,0,4,0,3,7,0
0,2.75,14.25,2,0,0,2,57,37,1,0,4,0,3,7,0
1,3.9333333333,30.0666666667,1.6,17,0,2,451,143,8,0,15,0,11,89,34
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,2.5,13.75,1.5,0,0,2,55,36,1,0,4,0,3,7,0
0,2.75,19,2.5,0,0,2,76,54,1,0,4,0,3,8,0
1,4.1666666667,22.5,1.1666666667,4,0,6,135,88,1,0,6,0,4,13,24
0,12.0625,64.5625,1.3125,11,0,7,1033,140,0,0,16,0,14,112,77
0,4,22.25,1.5,0,0,2,89,70,1,0,4,0,3,7,0
0,1.72,8.64,1.08,0,0,3,216,36,0,0,25,0,23,47,0
1,2.4,12.4,0.4,2,0,1,62,39,2,0,5,0,5,13,2
0,3,17.75,2.5,1,0,2,71,50,1,0,4,0,3,9,2
0,2.5,13.75,2,0,0,2,55,36,1,0,4,0,3,7,0
1,3.4,21.4,1.2,3,0,2,107,60,1,0,5,0,3,15,6
2,1.8,8.6,0.4,0,0,1,43,15,3,0,5,0,5,15,0
0,2,10,0.5,1,0,1,20,11,1,0,2,0,2,6,1
1,2,6.5,0.5,0,0,1,13,7,1,0,2,1,2,4,0
0,4.5,38,2,0,0,1,76,63,3,0,2,0,2,8,0
