"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,4.3333333333,23,1.3333333333,4,0,2,69,57,0,0,3,0,3,9,8
1,1,3,1,0,0,1,3,3,0,0,1,0,1,1,0
1,6.2,37.2,1.6,1,0,1,186,80,0,0,5,0,5,10,1
20,3.6279069767,29.4186046512,1.7674418605,33,0,26,1265,173,0,0,43,0,43,210,858
0,7,70.25,1.75,10,0,1,281,106,1,0,4,1,4,39,10
0,1,10,3,3,0,1,10,10,0,0,1,0,1,7,3
0,1,4,1,0,0,1,4,4,0,0,1,0,1,1,0
0,1,4,1,1,0,1,4,4,0,0,1,0,1,2,1
0,1,12,1,1,0,1,12,12,0,0,1,0,1,2,1
0,11,49,1,0,0,1,49,49,0,0,1,0,1,1,0
0,1,4,1,1,0,2,8,4,0,0,2,0,2,4,2
0,1,10,1,0,0,1,10,10,0,0,1,0,1,1,0
0,4,19.5,3.5,2,0,2,39,34,0,0,2,0,2,5,4
0,1,10,1,1,0,1,10,10,0,0,1,0,1,2,1
0,6,67,2,2,0,1,67,67,0,0,1,0,1,3,2
0,2.5,15.5,3.5,2,0,2,31,18,0,0,2,0,2,8,4
0,1,5,2,0,0,1,5,5,0,0,1,0,1,1,0
0,2,9,2,0,0,1,9,9,0,0,1,0,1,1,0
0,1,8.25,1,2,0,1,33,20,0,0,4,0,4,12,2
0,11,92,3,1,0,1,92,92,0,0,1,0,1,3,1
0,3,11.5,2,0,0,1,23,16,0,0,2,0,2,3,0
0,1,5,1,0,0,1,5,5,0,0,1,0,1,1,0
0,2,12,2,3,0,2,24,20,0,0,2,0,2,6,6
0,3,15,2,0,0,1,15,15,0,0,1,0,1,1,0
0,6,24,2,0,0,1,24,24,0,0,1,0,1,1,0
0,2,8,1,0,0,1,8,8,0,0,1,0,1,1,0
0,4,15,3,1,0,1,15,15,0,0,1,0,1,2,1
0,3,16,2,1,0,1,16,16,0,0,1,0,1,2,1
0,2,11,2,1,0,1,11,11,0,0,1,0,1,2,1
0,1,5,2,0,0,1,5,5,0,0,1,0,1,1,0
0,3,17,2,0,0,1,17,17,0,0,1,0,1,1,0
0,1,4,2,0,0,1,4,4,0,0,1,0,1,1,0
