"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,1.5,5,0.75,3,2,1,20,11,3,0,4,0,4,14,3
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,2,2,1,0,0,2,0,2,2,0
0,1,3.6666666667,0.6666666667,0,1,3,11,5,1,0,3,0,3,4,0
1,1.6666666667,6.6666666667,0.6666666667,0,1,1,20,14,1,0,3,1,3,7,0
0,1,3,1,1,1,1,3,3,0,0,1,0,1,2,1
0,2,9,1,0,0,1,9,9,1,0,1,1,1,2,0
0,1,1,0.3333333333,0,0,3,3,1,0,0,3,0,3,3,0
1,1,3,0,0,0,1,3,3,0,1,1,0,1,1,0
0,1,3.5,0.5,0,1,1,7,4,0,0,2,0,2,3,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,1,3,3,0,0,1,0,0,1,0
0,1,3,0,0,0,1,3,3,0,0,1,0,0,1,0
0,1,3,0,0,0,1,3,3,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.5,0,0,2,2,1,0,0,2,0,2,2,0
0,1,4,0,0,2,1,4,4,0,0,1,0,1,1,0
2,1,1,0,0,1,1,1,1,0,2,1,0,0,1,0
0,1,3,0,0,2,1,3,3,0,0,1,0,1,1,0
0,1,4,1,0,0,1,4,4,0,0,1,0,1,1,0
0,1.3333333333,4.6666666667,0.3333333333,0,1,3,14,8,0,0,3,0,3,3,0
31,2.6721311475,37.1639344262,1.2459016393,4,3,11,2267,1545,16,3,61,0,39,189,44
0,1.75,7.5,0.25,1,1,1,30,14,3,0,4,0,2,15,1
11,1.8181818182,9.0454545455,0.9545454545,2,0,1,199,26,7,2,22,0,18,71,2
0,1,1,1.6,0,0,5,5,1,0,0,5,0,4,5,0
