"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,1.1111111111,3.7777777778,1.1111111111,1,2,4,34,6,3,0,9,2,9,20,4
0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0
1,2,9.25,0.75,2,1,1,37,14,2,0,4,0,3,13,2
0,2.5,10.6666666667,1.25,4,0,11,128,40,0,0,12,0,10,18,44
0,1,31,0,0,1,1,31,31,7,0,1,6,0,1,0
0,6,40.75,2.5,0,3,4,163,112,1,0,4,0,1,4,0
0,6.2857142857,30.7142857143,2,8,0,2,215,59,10,0,7,8,7,35,16
0,3.2307692308,14.1538461538,1.6153846154,9,2,7,184,28,4,0,13,1,3,43,63
0,1.5,6,1,0,1,1,12,8,1,0,2,0,1,4,0
0,1,25,0,0,1,1,25,25,3,0,1,2,0,1,0
0,5.5,28,1.125,5,0,3,224,82,36,0,8,27,6,70,15
1,1,3,0,0,0,1,3,3,4,0,1,4,0,1,0
0,1,26,0,0,1,1,26,26,3,0,1,2,0,1,0
0,1.875,6.875,0.75,2,2,2,55,26,3,0,8,0,5,25,4
0,3,10.6666666667,1.3333333333,2,2,2,32,25,1,0,3,0,3,9,4
0,5,23,2,0,1,1,23,23,0,0,1,0,1,1,0
0,5.6,34.6,3,1,0,4,173,90,8,0,5,0,2,11,4
1,1,3,0.3333333333,0,0,1,9,3,1,0,3,0,3,6,0
6,1,3.4,0.8,0,1,1,17,5,3,3,5,0,4,12,0
1,2.2413793103,10.5172413793,0.7586206897,5,1,25,305,47,20,0,29,0,18,58,125
0,2.3333333333,10,1,2,1,2,30,13,3,0,3,0,3,17,4
0,1.2,4,1,0,2,2,20,6,2,0,5,0,5,11,0
0,1,30,0,0,1,1,30,30,6,0,1,5,0,1,0
2,1,1,0.5,0,1,2,2,1,0,1,2,0,2,2,0
18,1,1,2,0,0,1,1,1,0,10,1,0,1,1,0
14,1,1,0,0,0,2,2,1,0,3,2,0,2,2,0
9,1,1,1.1875,0,0,16,16,1,2,1,16,2,16,16,0
4,1,1,0.4,0,1,5,5,1,0,2,5,0,5,5,0
1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1,0,0,3,3,1,0,0,3,0,3,3,0
0,1,3.1428571429,0.5714285714,1,2,3,22,4,4,0,7,3,7,17,3
20,1.5,5.9285714286,1.2142857143,3,1,7,83,39,0,3,14,0,2,30,21
0,2.7777777778,9.6666666667,1,7,3,6,87,51,2,0,9,0,7,34,42
0,1.3333333333,4.3333333333,1,0,1,2,13,7,1,0,3,0,3,5,0
37,1,1,1,0,0,2,2,1,0,11,2,0,2,2,0
10,1,1,0,0,1,1,1,1,0,2,1,0,1,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1,1,1,0,2,1,1,1,0,2,1,0,1,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15,3.3333333333,11.5555555556,0.6666666667,0,1,2,104,74,21,0,9,17,9,59,0
0,1,3,1,0,1,1,3,3,7,0,1,6,1,1,0
4,3.0217391304,12.7173913043,1,6,2,37,585,91,41,0,46,26,35,74,222
0,2,7,0.25,5,3,3,28,17,2,0,4,0,3,15,15
0,1.3333333333,4.6666666667,1,0,0,3,14,7,2,0,3,0,2,5,0
1,1,4.3333333333,0.6666666667,0,1,3,13,6,1,0,3,0,2,3,0
1,4.3333333333,17,0.6666666667,0,1,3,51,29,4,0,3,0,2,3,0
4,1,1,1.6666666667,0,0,3,3,1,0,1,3,0,3,3,0
13,1,1,0.95,0,0,20,20,1,0,1,20,0,20,20,0
5,1,1,1,0,0,1,1,1,0,5,1,0,1,1,0
7,1,1,1.6666666667,0,0,3,3,1,0,6,3,0,3,3,0
0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
31,1,1,1,0,0,1,1,1,0,15,1,0,1,1,0
1,1,1,1,0,0,3,3,1,0,1,3,0,3,3,0
8,1,1,0.8571428571,0,0,14,14,1,0,1,14,0,14,14,0
7,1,1,1,0,0,3,3,1,0,4,3,0,3,3,0
41,1,1,0.5333333333,0,1,15,15,1,0,1,15,0,15,15,0
68,1,1,0.8387096774,0,1,31,31,1,3,2,31,3,31,31,0
15,1,1,1,0,0,3,3,1,0,7,3,0,3,3,0
1,1,1,1,0,0,2,2,1,0,1,2,0,2,2,0
40,1,1,0.5263157895,0,1,19,19,1,0,1,19,0,19,19,0
32,1,1,1.1578947368,0,2,19,19,1,0,1,19,0,19,19,0
13,1,1,0.125,0,0,8,8,1,0,1,8,0,8,8,0
13,1,1,1,0,0,3,3,1,0,2,3,0,3,3,0
9,1,1,1,0,1,1,1,1,0,9,1,0,1,1,0
14,1,1,1,0,0,3,3,1,0,8,3,0,3,3,0
30,1,1,0.7368421053,0,0,38,38,1,6,1,38,6,38,38,0
7,1,1,0,0,0,3,3,1,0,1,3,0,3,3,0
1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
4,1,1,0,0,1,2,2,1,0,1,2,0,2,2,0
6,1,1,1,0,0,2,2,1,0,4,2,0,1,2,0
1,1,1,0.8571428571,0,0,7,7,1,0,1,7,0,7,7,0
2,1,1,4,0,0,1,1,1,0,1,1,0,1,1,0
85,1,1,0.2,0,0,5,5,1,0,3,5,0,5,5,0
17,1,1,2,0,0,1,1,1,0,11,1,0,1,1,0
3,1,1,2,0,0,1,1,1,0,1,1,0,1,1,0
5,2.6315789474,8.3947368421,0.5263157895,3,2,5,319,48,7,3,38,0,30,119,15
10,1.4545454545,6.5454545455,0.7727272727,6,2,3,144,12,1,1,22,0,12,85,18
28,1.5833333333,5,0.8333333333,3,2,4,60,25,1,2,12,0,10,25,12
47,1,1,0.4,0,1,10,10,1,6,4,10,6,10,10,0
2,1,1,1.5,0,0,2,2,1,0,1,2,0,2,2,0
103,1,1,0,0,1,3,3,1,0,9,3,0,3,3,0
2,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0
8,1,1,0.2,0,2,5,5,1,0,2,5,0,5,5,0
14,1,1,0,0,0,3,3,1,0,2,3,0,3,3,0
0,1,1,0,0,0,2,2,1,0,0,2,0,2,2,0
5,1,1,0,0,3,2,2,1,0,1,2,0,2,2,0
13,1,1,0,0,2,4,4,1,0,1,4,0,4,4,0
0,1,1,0,0,1,2,2,1,0,0,2,0,2,2,0
3,1,1,0.3333333333,0,1,3,3,1,0,2,3,0,3,3,0
3,1,1,0.75,0,3,4,4,1,0,1,4,0,4,4,0
7,1,1,4,0,0,1,1,1,0,1,1,0,1,1,0
7,1,1,2.75,0,1,4,4,1,0,1,4,0,4,4,0
8,1,1,0,0,2,3,3,1,0,2,3,0,3,3,0
5,1,1,1,0,0,2,2,1,0,2,2,0,2,2,0
3,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0
22,1,1,0.4,0,2,5,5,1,0,3,5,0,5,5,0
6,1,1,0.5,0,3,18,18,1,0,1,18,0,18,18,0
6,1,1,1,0,0,2,2,1,0,2,2,0,2,2,0
2,1,1,2,0,1,1,1,1,0,0,1,0,1,1,0
7,1,1,0.6666666667,0,1,3,3,1,0,1,3,0,3,3,0
18,1,1,0.5,0,1,6,6,1,3,2,6,3,6,6,0
0,1,1,0,0,3,1,1,1,0,0,1,0,1,1,0
1,1,1,0,0,2,3,3,1,0,0,3,0,3,3,0
8,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0
12,1,1,0,0,2,9,9,1,0,2,9,0,9,9,0
10,1,1,0,0,0,7,7,1,0,3,7,0,7,7,0
1,1,1,0.3333333333,0,0,3,3,1,0,0,3,0,3,3,0
4,1,1,0.6666666667,0,0,3,3,1,0,2,3,0,3,3,0
6,1,1,0.3333333333,0,0,3,3,1,0,3,3,0,3,3,0
3,1,1,0,0,1,1,1,1,0,2,1,0,1,1,0
20,1,1,0,0,0,5,5,1,0,4,5,0,5,5,0
47,1,1,0,0,0,3,3,1,0,5,3,0,3,3,0
7,1,1,0,0,2,6,6,1,0,2,6,0,6,6,0
18,1,1,0,0,2,5,5,1,0,5,5,0,5,5,0
9,1,1,0.8,0,0,5,5,1,0,1,5,0,5,5,0
17,1,1,0,0,2,4,4,1,0,6,4,0,4,4,0
15,1,1,0.5,0,4,6,6,1,0,1,6,0,6,6,0
1,1,1,3,0,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
1,1,1,0,0,0,5,5,1,0,0,5,0,5,5,0
4,1,1,0.3333333333,0,2,6,6,1,0,1,6,0,6,6,0
5,3.6428571429,13.8571428571,1.9285714286,5,2,10,194,30,7,5,14,0,4,30,50
5,2,7,0,2,3,3,21,7,0,2,3,0,3,9,6
16,1.3157894737,3.8947368421,0.5789473684,0,0,2,74,6,8,0,19,6,19,45,0
2,2.35,9.05,0.55,3,2,1,181,34,11,1,20,0,11,71,3
1,2.3333333333,11.6666666667,0.3333333333,1,0,1,35,20,5,0,3,0,2,15,1
0,4,21.8333333333,1.5,1,0,6,131,42,7,0,6,6,5,9,6
6,2.3255813953,8.3953488372,0.9069767442,9,4,42,361,25,16,2,43,0,31,75,378
1,3,10,0.3333333333,2,1,1,60,43,3,0,6,0,5,21,2
3,3,10,0.5,3,1,2,80,52,2,2,8,0,5,21,6
21,1.3333333333,4.5555555556,0.6666666667,3,2,6,41,15,2,4,9,1,4,16,18
16,1,3.25,1,0,1,4,13,4,0,8,4,0,0,4,0
2,1.3636363636,4.3636363636,0.4545454545,4,3,2,48,7,4,0,11,1,10,32,8
10,3.6666666667,12.1666666667,0.5,2,3,3,73,46,1,5,6,0,4,16,6
7,3.3333333333,12.6666666667,0.5555555556,7,4,1,114,59,5,2,9,0,7,47,7
0,1.5,4.875,0.125,3,4,6,39,11,1,0,8,1,5,17,18
3,2.3,8.1,0.6,3,4,2,81,30,3,0,10,1,9,31,6
3,3.8,15.9,0.6,1,3,7,159,68,5,0,10,1,8,22,7
0,1,3,1,1,5,2,6,3,1,0,2,1,2,4,2
1,1.2222222222,4.1111111111,0.3333333333,0,2,2,37,8,1,0,9,0,8,17,0
1,1.875,6.625,0.625,4,5,3,53,23,2,0,8,1,5,24,12
0,1.1666666667,4,0.1666666667,2,4,6,24,10,1,0,6,1,5,10,12
1,1.2727272727,4.2727272727,0.4545454545,0,2,2,47,10,2,0,11,0,9,27,0
6,1,1,1,0,2,2,2,1,0,1,2,0,2,2,0
23,1,1,0.2857142857,0,1,7,7,1,0,1,7,0,7,7,0
8,1,1,0,0,1,3,3,1,0,1,3,0,3,3,0
13,1,1,1,0,0,2,2,1,0,2,2,0,2,2,0
11,1,1,0.5625,0,3,16,16,1,0,1,16,0,16,16,0
6,1,1,0.8,0,0,5,5,1,0,1,5,0,5,5,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
6,1,1,2,0,0,1,1,1,0,3,1,0,1,1,0
1,1.3333333333,4,0.3333333333,0,0,1,12,6,2,0,3,0,3,7,0
2,2.4871794872,10.8205128205,0.8205128205,8,2,21,422,43,16,0,39,0,25,105,168
0,3,10,1,1,2,1,10,10,1,0,1,0,1,3,1
0,2.5,9,1.5,1,1,2,18,17,0,0,2,0,2,4,2
0,8,26,1,2,1,1,26,26,0,0,1,0,1,6,2
0,4.8571428571,20.2857142857,1.1428571429,5,1,7,142,46,5,0,7,0,2,23,35
0,2.6666666667,10.6666666667,1.3333333333,0,1,3,32,15,4,0,3,0,3,3,0
0,2.3333333333,10,1.3333333333,0,1,3,30,13,4,0,3,0,3,3,0
