"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,3.2,16.4,2,0,0,1,82,33,0,0,5,0,4,10,0
2,2.4285714286,13,3.8571428571,1,1,4,91,34,3,0,7,0,0,15,4
5,1,2.75,1,0,0,2,11,4,2,2,4,0,4,8,0
0,1,4.5,3,2,1,1,9,6,2,0,2,0,2,9,2
0,2,11.5,3,2,1,1,23,14,2,0,2,0,2,12,2
0,3.0588235294,12.0588235294,1,1,1,2,205,49,7,0,17,0,5,41,2
2,1,4,2,0,0,1,4,4,2,0,1,2,1,3,0
1,4.6666666667,24.3333333333,1.3333333333,2,1,2,73,61,1,0,3,0,2,7,4
1,1,3,1,1,0,2,12,3,2,0,4,0,4,9,2
1,2.3333333333,8.3333333333,0.6666666667,0,1,1,25,18,3,0,3,0,2,9,0
0,1,5,0,0,2,2,10,5,0,0,2,0,2,2,0
0,1.75,6.75,0.1666666667,1,2,3,81,11,2,0,12,0,9,31,3
0,3.8571428571,21.0714285714,1.2142857143,0,0,5,885,125,12,0,42,0,6,176,0
0,1.2727272727,5.0909090909,0.2727272727,0,1,9,56,14,0,0,11,0,11,13,0
0,3,15.625,1.125,0,0,1,125,66,4,0,8,1,3,20,0
0,7.3333333333,71.3333333333,1.3333333333,1,0,2,214,99,6,0,3,0,1,10,2
0,2.6666666667,14.3333333333,1,0,1,3,43,34,2,0,3,0,3,3,0
0,1.0909090909,3.5454545455,0.2727272727,0,1,10,39,8,0,0,11,0,11,12,0
0,1.3333333333,4.5,0.25,0,1,10,54,17,0,0,12,0,12,14,0
1,4.25,23.4166666667,1.875,2,0,2,562,64,14,0,24,0,3,106,4
0,5.5,20.5,2.5,2,1,1,41,38,1,0,2,0,1,8,2
1,1.5,7.1428571429,0.9285714286,1,0,2,100,62,11,0,14,0,14,38,2
0,3.1666666667,17.8333333333,1.8333333333,1,0,1,107,28,4,0,6,0,1,22,1
1,1.8,7,1,1,0,1,35,23,4,0,5,0,5,14,1
0,10.5,51.5,1.5,1,0,2,103,100,0,0,2,0,2,3,2
1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
0,4,17.25,1,0,0,1,69,29,0,0,4,0,2,7,0
0,6,33.7142857143,1.7142857143,0,0,1,236,81,0,0,7,0,1,13,0
1,1.6,5.4,0.6,0,0,1,27,15,2,0,5,0,0,12,0
0,3,19.6666666667,1,4,0,1,59,28,0,0,3,0,2,11,4
2,1.3,5.4,0.6,0,0,1,54,16,1,0,10,0,0,23,0
0,1,3.0322580645,0.064516129,1,6,25,94,4,2,0,31,0,30,44,25
1,1.7,7,1.2,0,0,1,70,18,3,0,10,0,0,25,0
3,1,3,0.6666666667,1,0,1,9,3,1,0,3,0,3,7,1
3,2.0909090909,10.1818181818,0.5454545455,4,0,1,112,28,3,0,11,0,0,40,4
7,1,3,0.125,0,0,8,24,3,7,0,8,0,1,15,0
0,1,5.5,0,1,2,2,11,8,0,0,2,0,1,3,2
0,1,3.3333333333,0,1,2,3,10,4,0,0,3,0,3,4,3
0,1.5,6.5,0.25,1,2,4,26,17,0,0,4,0,4,6,4
0,1,3,0.25,1,2,4,12,3,0,0,4,0,4,5,4
0,1,3.6666666667,0.3333333333,1,2,3,11,5,0,0,3,0,3,4,3
0,1.5,6,0.5,1,1,3,24,15,0,0,4,0,4,6,3
0,1,3.3333333333,0.3333333333,1,2,3,10,4,0,0,3,0,3,4,3
0,1.75,11.375,3.125,0,0,3,91,24,0,0,8,0,0,13,0
1,2.0833333333,15.9166666667,1.5833333333,7,0,1,191,72,9,0,12,0,0,68,7
1,2.25,14.375,2.25,5,0,1,115,33,3,0,8,0,0,44,5
1,2.1666666667,10.8333333333,0.6666666667,1,0,1,65,17,1,0,6,0,1,20,1
1,1,3,1,0,5,31,93,3,0,1,31,0,31,31,0
1,2.5294117647,16.5294117647,1.7058823529,6,0,1,281,90,14,0,17,0,5,78,6
0,1,4.75,0.75,0,0,1,19,7,2,0,4,0,2,10,0
5,1,1,0.5,0,0,4,4,1,0,1,4,0,3,4,0
2,8.5,37.5,3,3,1,1,75,39,2,0,2,0,2,12,3
22,1,1,0,0,0,2,2,1,0,2,2,0,1,2,0
3,1,1,0,0,0,4,4,1,0,2,4,0,3,4,0
4,1.5,5.2,0.6,0,2,2,52,8,2,0,10,0,10,20,0
0,3.4444444444,21.3888888889,2.7222222222,0,0,3,385,115,3,0,18,0,6,48,0
2,1.5,6,0.5,0,1,1,36,14,2,1,6,0,6,16,0
0,1.3,6.1,1.1,0,1,1,61,16,5,0,10,0,10,36,0
3,1,3.2142857143,1,1,1,1,45,4,1,2,14,0,14,41,1
33,7.5,25,2,0,0,2,50,49,0,23,2,0,2,2,0
34,1,1,1,0,0,13,13,1,0,3,13,0,12,13,0
7,1.25,6.75,2.5,1,1,3,27,14,0,2,4,0,4,6,3
29,1.3333333333,5.6666666667,1.8333333333,0,0,4,34,14,0,4,6,0,6,8,0
26,1,5.125,3.75,0,1,2,41,7,0,7,8,0,0,14,0
2,1,2,0.5,1,2,2,4,3,0,2,2,0,1,3,2
1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
2,1.0666666667,3.4666666667,0.5333333333,1,1,6,52,6,5,0,15,0,11,30,6
6,1.1666666667,3,0.1666666667,0,1,9,36,15,0,2,12,0,9,15,0
0,1,3.2222222222,0.2222222222,1,2,1,29,5,1,0,9,0,9,26,1
31,1.0769230769,3.6923076923,0.6153846154,0,1,4,48,11,2,4,13,0,10,24,0
3,2,10,1.5,1,2,1,20,14,2,1,2,0,1,7,1
0,1,4,1,1,3,1,12,5,1,0,3,0,3,10,1
0,1,3.8888888889,1.7777777778,0,3,5,35,5,0,0,9,0,4,13,0
1,1.3333333333,5.6666666667,1.3333333333,0,3,2,17,9,2,0,3,0,3,6,0
0,1,3.4,0.8,1,1,1,17,4,2,0,5,0,5,14,1
1,6,33.3333333333,1.3333333333,0,0,1,100,81,1,0,3,0,3,6,0
0,1,3.6666666667,0.6666666667,0,2,1,11,5,2,0,3,0,3,7,0
1,1.6,6.8,0.6,0,1,2,34,22,2,0,5,0,5,11,0
0,3,21.6666666667,2.6666666667,1,0,2,65,27,0,0,3,0,2,5,2
0,3,17,1.4,0,0,2,85,22,0,0,5,0,2,9,0
0,2,8.7142857143,0.5714285714,0,1,2,61,37,4,0,7,0,5,17,0
11,2,12.064516129,3.1935483871,7,2,3,374,44,8,6,31,1,4,84,21
0,1,3,0.5,0,2,1,6,3,2,0,2,0,2,5,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,1.4,5,0.2,0,1,1,25,13,2,0,5,0,5,11,0
0,1,4.1666666667,1.3333333333,3,3,2,25,5,3,0,6,0,4,24,6
4,2.9047619048,16.9047619048,1.2857142857,8,1,4,355,93,12,0,21,0,20,72,32
0,1,4,1.3333333333,3,2,1,12,5,1,0,3,0,3,12,3
0,1.75,7.5,0.75,2,3,1,30,14,1,0,4,0,3,15,2
0,1.25,5.5,1.5,1,3,1,22,9,2,0,4,0,3,10,1
0,1,3,2,1,2,1,3,3,0,0,1,0,1,3,1
1,1.5,7.125,0.375,4,1,1,57,22,8,0,8,0,8,35,4
0,1.25,5.25,0.5,0,2,1,21,10,2,0,4,0,4,9,0
0,1.2,4.2,1,0,1,1,21,7,2,0,5,0,4,11,0
0,1,3,2,1,2,1,3,3,0,0,1,0,1,3,1
2,1.4090909091,6.1818181818,1.0909090909,0,2,2,136,24,10,0,22,0,19,82,0
1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0
3,1,3.3333333333,0.5,0,1,6,40,4,5,0,12,0,8,23,0
3,1,3.3333333333,0.5333333333,0,1,7,50,4,5,0,15,0,11,28,0
