"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,2.2,11.5,1.3,3,0,1,115,42,5,0,10,0,8,35,3
3,1,1,2,0,0,3,3,1,1,1,3,1,2,3,0
2,3,17.6666666667,0.3333333333,1,0,1,53,47,5,0,3,0,3,11,1
1,1.5,8,0.25,1,0,1,32,12,3,0,4,0,0,15,1
0,1.2857142857,4.4285714286,0.8571428571,1,1,1,31,10,1,0,7,0,4,24,1
1,1,4,2,0,0,1,4,4,2,0,1,0,1,3,0
0,1,2.5,0.5,0,1,2,5,3,1,0,2,0,2,2,0
11,1.4615384615,4.2307692308,1.5384615385,0,0,3,55,23,0,2,13,0,11,24,0
4,1.7142857143,5.7142857143,0.2857142857,1,0,1,40,10,6,0,7,2,6,26,1
1,4.3333333333,22.5833333333,1.8333333333,4,2,3,271,98,5,0,12,1,5,31,12
0,2,7.5,2.5,0,0,1,15,10,3,0,2,0,0,8,0
0,3.25,10.75,1.5,3,0,1,43,13,2,0,4,0,1,18,3
1,1.3333333333,3.3333333333,0.6666666667,0,1,3,10,4,0,0,3,0,2,3,0
3,1,3,0.5,0,2,1,6,5,2,2,2,2,0,5,0
0,3.3333333333,15.3333333333,0.3333333333,2,2,3,46,34,3,0,3,3,1,9,6
0,1,3,0.3333333333,0,1,3,9,3,0,0,3,0,3,3,0
40,1.6470588235,7.0588235294,0.7647058824,2,1,4,120,40,8,17,17,6,7,46,8
0,1,3,0.5,0,1,1,6,3,2,0,2,0,1,4,0
0,1,3,0.5,0,1,1,6,3,2,0,2,0,1,4,0
2,2,10.1666666667,0.3333333333,2,1,1,61,18,2,0,6,0,4,22,2
0,1.3333333333,23.8333333333,1,2,1,6,143,108,0,0,6,0,4,8,12
0,2,7,0,0,2,1,7,7,0,0,1,0,0,1,0
2,7,25,0,2,2,1,25,25,0,1,1,0,0,3,2
0,1,6,0,0,1,1,6,6,0,0,1,0,1,1,0
0,2,9.5,0,3,2,2,19,16,3,0,2,3,1,8,6
0,1.5,7.5,0,2,2,2,15,12,1,0,2,1,1,6,4
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
0,5.25,33,1.25,3,2,1,132,113,1,0,4,0,0,11,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.5,25,1.5,0,0,1,50,40,2,0,2,0,2,6,0
0,1,3.125,0.25,0,1,8,25,4,2,0,8,0,7,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3333333333,6,0.6666666667,2,3,3,18,10,0,0,3,0,1,6,6
0,3.3333333333,17,0,2,2,2,51,27,2,0,3,2,1,10,4
