"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,1,9.3333333333,2.3333333333,2,2,3,28,20,1,0,3,1,3,8,6
0,3.3333333333,11,1,1,1,2,33,27,1,0,3,0,3,6,2
0,1,2,0,0,0,1,2,2,4,0,1,4,0,1,0
0,1,3,2,0,1,1,3,3,2,0,1,2,1,1,0
0,2.3333333333,11.6666666667,0.6666666667,4,1,3,35,30,2,0,3,2,3,10,12
0,4,19.5,1,4,1,2,39,36,0,0,2,0,2,7,8
0,3.8,20.6,1.4,4,1,2,103,33,2,0,5,0,2,16,8
0,5.3333333333,36.6666666667,1.6666666667,7,1,2,110,102,3,0,3,0,3,19,14
0,2.75,12.75,1.25,3,1,2,51,37,1,0,4,0,3,13,6
0,1,3,0.1818181818,0,1,1,33,3,1,0,11,0,10,22,0
0,1,1,1.6666666667,0,1,3,3,1,1,0,3,0,3,3,0
0,1,1,0.8666666667,0,0,30,30,1,1,0,30,0,30,30,0
3,1,3.6666666667,0.5,1,1,5,22,7,5,0,6,1,6,12,5
1,1.3333333333,7.6666666667,0.3333333333,1,0,1,23,8,0,0,3,0,0,7,1
0,2,7,0.5,2,0,1,14,11,1,0,2,0,1,7,2
1,2.4285714286,14,2.1428571429,2,1,2,98,64,12,0,7,1,7,37,4
0,6,23.5,0.5,0,1,1,47,40,1,0,2,1,1,4,0
0,2.75,12.25,0.5,0,1,1,49,19,5,0,4,0,3,15,0
0,2.5,7,1,0,1,1,14,11,1,0,2,0,2,4,0
0,1,4,1,3,1,1,8,5,8,0,2,2,2,11,3
0,2.5,10,3.5,0,0,2,40,22,0,0,4,0,1,6,0
0,1.6666666667,12.6666666667,2.3333333333,5,3,3,38,30,2,0,3,0,0,10,15
0,1.5,5.5,0.5,1,2,2,11,6,7,0,2,6,1,4,2
0,1,4.6,1.7,0,4,9,46,13,5,0,10,0,10,20,0
0,1,13.5,0.5,1,1,1,27,23,0,0,2,0,2,4,1
0,1,23,0.5,1,1,1,46,42,0,0,2,0,2,4,1
0,1,34.5,0.5,1,1,1,69,65,0,0,2,0,2,4,1
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,68,0,0,67,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,88,0,0,87,0,0,0
0,0,0,0,0,0,0,0,0,105,0,0,104,0,0,0
0,1,3,0,0,0,1,3,3,29,0,1,29,0,1,0
0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,73,0,0,10,0,0,0
0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,21,0,0,11,0,0,0
0,6.125,32.125,1.375,6,0,2,257,109,0,0,8,0,3,26,12
1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,6.4444444444,29.3333333333,1.5555555556,2,0,2,264,147,0,0,9,0,3,21,4
1,5.125,27.75,1,3,0,3,222,166,2,0,8,2,4,26,9
1,2.8333333333,10.8333333333,0.5,1,0,2,65,45,4,0,6,0,0,15,2
1,5.7222222222,24.2222222222,1.2777777778,2,0,3,436,251,0,0,18,0,2,45,6
1,3,11.8571428571,0.7142857143,1,0,1,83,45,6,0,7,0,0,24,1
0,7.25,40,3,1,1,2,320,90,1,0,8,0,3,21,2
2,1.2857142857,4.0952380952,0.5238095238,0,1,5,86,13,8,2,21,0,18,46,0
0,1.7894736842,9.7368421053,0.9473684211,4,1,19,185,64,10,0,19,0,8,26,76
5,1.625,5.375,0.5,1,0,3,43,10,2,0,8,0,8,16,3
4,2.1428571429,6,0.4285714286,0,0,1,42,15,2,0,7,0,7,16,0
4,2.2727272727,6.2727272727,0.5454545455,0,0,1,69,25,5,0,11,0,11,34,0
0,1,2,0,0,1,1,2,2,0,0,1,0,1,1,0
0,1.125,4.375,0.625,2,1,1,35,7,4,0,8,0,7,28,2
0,1.3076923077,4.7692307692,0.6923076923,2,1,4,62,21,3,0,13,0,10,38,8
0,1.5833333333,6.9166666667,1,4,1,5,83,27,8,0,12,0,10,55,20
0,1.6666666667,13.6666666667,0,4,0,1,82,22,2,0,6,0,6,28,4
0,1,3,2,0,1,1,3,3,1,0,1,0,0,1,0
1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,1,0,0,0,2,2,1,0,0,2,0,1,2,0
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
108,1,1,2,0,0,2,2,1,0,50,2,0,1,2,0
0,2,6.6666666667,1.3333333333,1,0,1,40,13,2,0,6,0,4,15,1
2,3.25,13.25,1.75,5,0,1,53,21,2,0,4,0,3,20,5
5,1.1818181818,3.6363636364,0.4545454545,0,1,3,40,7,4,4,11,0,10,23,0
3,1,9,1,0,1,1,9,9,0,3,1,0,1,1,0
2,1,4,1,0,1,1,4,4,0,2,1,0,1,1,0
0,1.4285714286,5.8571428571,0.3571428571,0,1,14,82,37,5,0,14,0,8,14,0
0,4,15.3333333333,1.6666666667,1,1,1,92,28,3,0,6,0,2,17,1
0,1,1,3,0,0,1,1,1,0,0,1,0,0,1,0
2,1.3,4.2,0.4,0,2,3,42,11,4,1,10,0,10,22,0
0,1,4,1,0,1,1,4,4,0,0,1,0,1,1,0
0,1,4,1,0,1,1,4,4,0,0,1,0,1,1,0
88,2.28,9.32,0.96,1,0,2,233,28,15,0,25,0,11,77,2
0,1,3,1,0,0,1,3,3,1,0,1,0,1,1,0
0,1.8928571429,8.2142857143,2.0357142857,1,1,1,230,12,1,0,28,0,25,84,1
5,2.1714285714,8.8857142857,1.3428571429,4,0,2,311,31,15,0,35,0,12,112,8
0,1,3,1,0,0,1,3,3,1,0,1,0,1,1,0
0,1,3,1.5,0,1,2,6,3,1,0,2,0,2,3,0
0,1,3,1.5,0,1,2,6,3,1,0,2,0,2,3,0
0,3,13.5,1,0,0,2,27,16,0,0,2,0,2,2,0
0,3.5,16,1.5,0,0,2,32,16,0,0,2,0,2,2,0
0,1.5,6,3,0,0,2,12,9,0,0,2,0,2,2,0
2,2.25,9.25,0.75,0,0,1,37,16,4,0,4,0,4,12,0
0,2.5,7.5,0.5,0,0,2,15,12,0,0,2,0,1,2,0
0,2.5,7.5,0.5,0,0,2,15,12,0,0,2,0,1,2,0
0,2.7142857143,13.5,0.5,0,0,5,189,48,2,0,14,0,5,26,0
0,2,5.6666666667,1.3333333333,0,1,2,17,9,0,0,3,0,1,4,0
0,8,34,1.6666666667,0,0,1,102,56,6,0,3,0,3,18,0
0,2.3333333333,6.6666666667,1,0,0,1,20,11,2,0,3,0,2,9,0
1,1.375,4.875,0.375,0,2,1,39,15,3,0,8,0,8,20,0
0,1,4,1,0,2,1,4,4,0,0,1,0,1,1,0
0,2.2222222222,12.3333333333,0.7777777778,2,1,2,111,27,9,0,9,0,2,30,4
1,3.75,22.25,0.75,0,0,1,89,57,6,0,4,0,0,12,0
0,1,5,0,1,0,2,10,5,1,0,2,0,2,3,2
1,1.0833333333,3.3333333333,0.4583333333,0,2,10,80,8,11,0,24,0,24,49,0
