"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,1,3.8333333333,0.6666666667,0,1,2,23,7,2,0,6,0,5,11,0
1,1.6666666667,6,0.6666666667,0,0,1,18,8,1,0,3,0,0,7,0
1,2,5.4,1.6,0,0,1,27,7,1,0,5,0,0,11,0
3,1.2,4,0.6,0,1,2,40,6,4,0,10,0,5,22,0
1,1.4545454545,5.2727272727,1.2727272727,1,1,2,58,7,6,0,11,0,6,32,2
3,1.25,7.875,0.25,1,3,3,63,29,6,0,8,0,0,22,3
1,1,4,0.6666666667,0,1,4,24,9,1,0,6,0,5,8,0
0,1.8,7.4,0.8,0,0,1,37,11,4,0,5,0,0,19,0
1,1.1666666667,8.3333333333,0.1666666667,0,3,4,50,28,2,0,6,0,0,10,0
1,1,3.8,0.6,0,1,4,19,6,2,0,5,0,5,7,0
11,1,3.3333333333,0.6666666667,0,1,3,10,4,2,2,3,0,2,3,0
8,1.2142857143,4.0714285714,0.7142857143,1,1,14,57,7,4,0,14,0,11,17,14
0,1,3,0.6666666667,0,1,3,9,3,0,0,3,0,2,3,0
0,1,3,0.0833333333,0,1,1,36,3,1,0,12,0,8,24,0
0,1.1,3.8,1.2,0,1,10,38,7,2,0,10,0,6,10,0
0,1,3,1.25,0,1,4,12,3,0,0,4,0,3,4,0
0,1.25,3.75,1.25,0,1,4,15,6,0,0,4,0,3,4,0
0,1.25,3.75,1,0,1,4,15,6,0,0,4,0,3,4,0
0,1,3,1.3636363636,0,1,11,33,3,0,0,11,0,10,11,0
0,1,3,0.8571428571,0,1,7,21,3,0,0,7,0,6,7,0
0,1,3,1.25,0,1,4,12,3,0,0,4,0,3,4,0
0,1,3,1.2,0,1,5,15,3,0,0,5,0,4,5,0
0,1,3,0.8333333333,0,1,6,18,3,0,0,6,0,5,6,0
0,1,3,1,0,1,8,24,3,0,0,8,0,7,8,0
2,1,3,0.3333333333,0,1,1,9,3,1,0,3,0,3,6,0
7,1,3.1666666667,0.6666666667,1,2,4,19,4,1,0,6,0,6,12,4
25,1.4848484848,4.4545454545,0.5757575758,1,1,33,147,9,4,0,33,0,25,37,33
1,2,4.6666666667,1.3333333333,0,1,2,14,8,1,0,3,0,1,5,0
0,1.6666666667,6.3333333333,1.6666666667,0,1,2,19,8,0,0,3,0,0,4,0
0,1,3.5,1.5,0,1,2,7,4,0,0,2,0,0,2,0
0,2.25,6.75,1.875,0,1,7,54,9,3,0,8,0,0,9,0
1,1.5714285714,5.4285714286,0.5714285714,2,1,5,38,9,0,0,7,0,0,19,10
0,1.5454545455,4.0909090909,2.0909090909,2,2,10,45,9,0,0,11,0,3,15,20
0,2.3333333333,6.6666666667,1,2,0,2,20,10,2,0,3,0,0,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1.5,0,1,2,6,3,0,0,2,0,0,2,0
0,1,3.5,1.5,0,1,2,7,4,0,0,2,0,0,2,0
2,1.2857142857,3.2857142857,1.2857142857,0,0,14,46,8,2,0,14,0,3,14,0
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
1,1,4.5,1.5,0,1,2,9,6,0,0,2,0,0,2,0
0,1,3.5,1.5,0,1,2,7,4,0,0,2,0,0,2,0
1,1,4.5,1.5,0,1,2,9,6,0,0,2,0,0,2,0
1,1.25,4.75,0.75,0,1,1,19,6,3,0,4,0,1,13,0
3,1.25,4.625,0.75,0,2,1,37,8,2,0,8,0,4,21,0
0,1.2413793103,3.9310344828,0.3793103448,0,2,28,114,8,9,0,29,0,15,33,0
0,1.15,3.95,1.25,0,2,14,79,17,8,0,20,0,5,27,0
13,1.2,3.4,0.4,0,1,4,17,5,2,8,5,0,2,6,0
0,1,3.8,0,0,0,2,19,5,3,0,5,0,3,11,0
1,1.2222222222,4.1111111111,0.5555555556,0,0,1,37,7,1,0,9,0,8,19,0
0,1.5,4,1,0,1,2,8,5,0,0,2,0,2,2,0
0,1.5,4,1,0,1,2,8,5,0,0,2,0,2,2,0
0,1.5,4,1,0,1,2,8,5,0,0,2,0,1,2,0
0,1,3,1,0,1,2,6,3,0,0,2,0,2,2,0
0,1,3,1,0,1,2,6,3,0,0,2,0,2,2,0
0,1,3,1,0,1,2,6,3,0,0,2,0,2,2,0
0,1.5,4,1,0,1,2,8,5,0,0,2,0,2,2,0
3,1,4.5,1.25,0,1,1,18,7,0,2,4,0,2,8,0
0,1,3,0,0,2,1,3,3,0,0,1,0,0,1,0
0,1,3,0,0,2,1,3,3,0,0,1,0,0,1,0
18,1.5,3,1,0,0,2,12,6,0,9,4,0,2,6,0
0,1.5,4,1,0,1,2,8,5,0,0,2,0,2,2,0
1,1.6666666667,5.5,0.6666666667,1,1,1,33,8,1,0,6,0,2,14,1
2,1.1875,4.1875,0.9375,1,1,16,67,9,2,0,16,0,7,17,16
4,1.2,3.8666666667,0.1333333333,1,1,13,58,13,2,0,15,0,5,26,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,1,3,12,6,0,0,3,0,2,3,0
0,1.25,8.25,1,0,1,4,33,19,0,0,4,0,3,4,0
2,1.5,5.9,1.4,2,1,4,59,14,0,0,10,0,4,26,8
0,1,3,0,0,1,1,3,3,0,0,1,0,1,1,0
2,1.0588235294,3.4705882353,1.5882352941,4,1,4,59,6,0,0,17,0,12,34,16
0,1,4,0.6666666667,0,1,3,12,6,0,0,3,0,2,3,0
0,1,3.6666666667,1,0,1,3,11,5,0,0,3,0,2,3,0
0,1,3.6666666667,1,0,1,3,11,5,0,0,3,0,2,3,0
0,1,3,0.5,0,1,2,6,3,0,0,2,0,1,2,0
0,1,3.3333333333,0.3333333333,1,2,6,20,5,4,0,6,0,6,9,6
1,1,3.25,0.75,0,1,4,13,4,3,0,4,0,4,4,0
1,1,4,0.4285714286,5,2,14,56,9,12,0,14,0,11,31,70
1,1.125,4.125,0.4375,4,2,16,66,8,11,0,16,0,12,30,64
0,1.125,3.875,0.5,3,2,8,31,8,6,0,8,0,7,15,24
1,1.3076923077,4.1538461538,1,2,2,13,54,8,9,0,13,0,11,20,26
0,1.3333333333,4.4166666667,0.4166666667,3,2,12,53,8,8,0,12,0,9,22,36
1,1,3.5,0.75,0,0,4,14,5,4,0,4,0,4,4,0
0,1,3.3333333333,0.3333333333,1,2,6,20,5,4,0,6,0,6,9,6
1,1,3.625,0.375,2,2,8,29,8,6,0,8,0,8,15,16
0,1.1,3.7,0.4,2,2,10,37,8,8,0,10,0,9,18,20
0,1,3.3333333333,0.3333333333,1,2,6,20,5,4,0,6,0,6,9,6
0,1,3.5,0.5,1,2,8,28,7,5,0,8,0,8,12,8
0,1,3.6666666667,0.3333333333,2,2,12,44,11,10,0,12,0,12,21,24
0,1,3.625,0.625,0,2,8,29,8,7,0,8,0,7,8,0
0,1.375,4.125,0.375,0,2,8,33,6,5,0,8,0,6,8,0
2,1.1,4.2,0.9,0,0,1,42,8,1,0,10,0,0,29,0
0,1.6666666667,6.5555555556,1,3,1,5,59,11,1,0,9,0,6,19,15
1,1.6666666667,5.8888888889,1.5555555556,10,3,1,53,8,2,0,9,0,0,47,10
1,2,6,0,3,3,1,6,6,0,0,1,0,0,6,3
3,1.5,4.875,1.125,0,0,2,39,7,2,0,8,0,4,20,0
1,1.6666666667,5.8333333333,1,3,3,1,35,13,0,0,6,0,0,19,3
0,2.2857142857,7,1.1428571429,5,0,1,49,12,3,0,7,0,0,39,5
9,1,3.2222222222,0.2222222222,3,2,1,29,5,1,4,9,0,1,28,3
3,1.4,5.2,0.8,3,2,2,26,6,4,0,5,0,2,22,6
0,2,6.3333333333,1,4,0,2,19,8,0,0,3,0,1,12,8
0,2,4.5,1,0,1,1,9,6,1,0,2,0,1,4,0
1,1,3,1,0,2,1,6,3,1,0,2,0,0,4,0
13,1.5384615385,4.8461538462,0.9230769231,1,0,2,63,8,4,1,13,0,9,34,2
16,1,1,1,0,0,1,1,1,0,7,1,0,0,1,0
2,1,2,1,0,1,2,4,3,0,2,2,0,1,2,0
0,1,3,0.8888888889,0,0,9,27,3,0,0,9,0,8,9,0
2,1.9090909091,5.8181818182,2,0,0,3,64,14,1,0,11,0,5,23,0
0,1,3,1,0,1,1,6,3,1,0,2,0,1,4,0
1,1,3,1,0,1,1,6,3,1,0,2,0,1,4,0
0,1,3,1,1,1,1,6,3,1,0,2,0,1,5,1
0,2,4.5,1,0,1,1,9,6,1,0,2,0,1,4,0
1,1.3333333333,3.6666666667,1,0,1,1,11,5,1,0,3,0,1,6,0
7,1,1,0.5,0,0,2,2,1,0,2,2,0,1,2,0
4,1,1,0.8333333333,0,0,6,6,1,0,2,6,0,5,6,0
2,1,2.1739130435,0,3,0,1,50,6,0,2,23,0,11,50,3
