"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,1.6666666667,21,0.6666666667,0,1,1,63,57,1,0,3,0,3,6,0
0,1.5,10,3,1,1,1,20,17,1,0,2,0,2,5,1
0,1,3.2,0.8,1,1,2,16,4,1,0,5,0,4,12,2
0,1,4.5,1,1,1,1,9,6,3,0,2,0,2,7,1
0,1.75,8.125,1.25,5,4,4,65,23,4,0,8,1,7,30,20
1,1,5,0,0,0,2,10,7,0,0,2,0,2,2,0
2,2.0769230769,9.1538461538,0.8461538462,1,1,1,119,22,9,0,13,0,3,44,1
0,2.5,16.5,0.5,2,0,1,33,23,2,0,2,0,2,7,2
0,1.5,7,1,1,1,2,14,8,0,0,2,0,1,3,2
0,7,19.5,0.5,1,0,1,39,34,1,0,2,0,2,9,1
1,2.4444444444,8,0.7777777778,4,2,4,72,21,14,0,9,0,8,51,16
1,2,10,1.6666666667,2,0,1,30,15,4,0,3,0,3,14,2
1,2,11,2,0,0,1,11,11,3,0,1,3,0,4,0
0,2.3333333333,12.5,0.5,1,1,2,75,25,8,0,6,1,4,27,2
0,2.3870967742,11.6774193548,0.935483871,5,4,5,362,71,31,0,31,0,23,144,25
0,3,71,1,1,0,1,71,71,0,0,1,0,1,7,1
0,1.75,8,1.25,4,2,2,96,25,11,0,12,6,12,63,8
0,1.5555555556,8.5555555556,1.6666666667,0,1,4,77,37,7,0,9,0,9,27,0
0,1,3.3333333333,1,0,1,3,10,4,1,0,3,0,3,4,0
0,2.125,7.75,0.5,3,2,4,62,29,7,0,8,3,6,28,12
0,4,28,0.5,2,0,1,56,47,3,0,2,0,2,14,2
0,2.3333333333,12.6666666667,1.3333333333,1,0,1,38,21,2,0,3,0,1,10,1
0,1.8,13.6,0.4,2,1,1,68,41,6,0,5,0,5,23,2
2,1.6666666667,28,1,1,1,1,84,72,3,0,3,0,3,8,1
0,1.75,11.25,1.5,2,1,4,45,27,3,0,4,0,4,6,8
0,1,3.75,0.75,1,1,1,15,6,1,0,4,0,3,12,1
1,1,5,1.5,0,1,1,10,6,2,0,2,0,2,4,0
0,3,14,1,2,0,1,28,22,3,0,2,0,1,9,2
2,1.5,14.75,0.5,0,1,2,59,47,2,0,4,0,4,8,0
0,2,16,3,2,1,2,32,29,2,0,2,0,2,6,4
0,1,4,0.8,1,1,2,20,8,1,0,5,0,4,13,2
0,1.5,8,1,1,1,1,16,12,3,0,2,0,2,8,1
1,1.4444444444,5.6666666667,0.6111111111,2,2,5,204,28,19,0,36,0,30,94,10
0,2,22,1,1,0,1,22,22,1,0,1,0,1,8,1
0,2,8,1.5,0,0,2,16,12,4,0,2,0,2,7,0
0,1,4,0,0,0,1,4,4,1,0,1,0,1,1,0
2,1,1,1.5,0,0,2,2,1,0,1,2,0,1,2,0
1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
1,6.2,28.7,0.8,2,0,1,287,84,16,0,10,0,10,81,2
1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,4,8,1,0,0,1,16,10,5,0,2,5,2,12,0
3,1,1,0.7142857143,0,0,7,7,1,0,1,7,0,7,7,0
0,11,65,1,5,2,2,130,125,1,0,2,0,2,15,10
1,2,11,0.7777777778,2,0,3,99,37,5,0,9,1,9,26,6
0,6,28,0.5,2,0,1,56,53,1,0,2,0,1,7,2
5,1.3333333333,4.75,0.5833333333,0,1,1,57,22,5,2,12,0,12,28,0
0,3,21.6666666667,1,1,2,2,65,56,1,0,3,0,3,11,2
0,1,3.5,1,0,0,1,7,4,2,0,2,0,2,6,0
0,1.5,21,0.5,1,0,1,42,32,1,0,2,0,2,11,1
0,1,8,0,1,0,1,8,8,1,0,1,0,0,3,1
0,1,37,1,1,0,1,37,37,1,0,1,0,1,7,1
0,1,44,1,1,0,1,44,44,1,0,1,0,1,7,1
0,1,44,1,1,0,1,44,44,1,0,1,0,1,7,1
0,1,44,1,1,0,1,44,44,1,0,1,0,1,7,1
0,1,28.3333333333,0.3333333333,0,0,2,85,63,6,0,3,5,2,9,0
0,1,23,0.3333333333,0,0,2,69,52,1,0,3,0,2,5,0
0,2,56,1,1,0,1,56,56,3,0,1,0,1,9,1
2,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
0,3.3333333333,17.6666666667,1,1,0,1,53,32,0,0,3,0,1,6,1
0,3.2,19.2,0.8,1,2,1,96,66,2,0,5,0,4,14,1
0,3,21,1,2,0,1,42,34,1,0,2,0,1,7,2
1,2.25,10,0.75,1,0,1,40,18,7,0,4,0,0,19,1
1,1,3,1,1,3,3,12,3,2,0,4,0,4,9,3
0,1,2.5,0.5,0,1,2,5,3,0,0,2,0,2,2,0
0,3,17,1,2,0,1,34,27,0,0,2,0,1,6,2
0,1,7,0.5,1,0,1,14,9,1,0,2,0,1,6,1
0,1,3,0,1,0,1,3,3,1,0,1,0,0,3,1
51,1,1,0.4166666667,0,0,12,12,1,0,2,12,0,11,12,0
