"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,5,25,1,2,0,1,25,25,0,0,1,0,1,6,2
0,4,19,1,2,0,1,19,19,0,0,1,0,1,4,2
0,6.3333333333,74,2,0,0,1,222,154,0,0,3,0,3,5,0
0,9,66.5,1.5,0,0,1,133,129,0,0,2,0,2,3,0
0,3,25,2,0,0,1,25,25,0,0,1,0,1,1,0
0,1,3,1,0,0,1,3,3,0,0,1,0,1,1,0
4,1,2.2,0.4,0,1,5,11,3,0,2,5,0,4,5,0
2,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
0,3,13,1,0,0,1,13,13,0,0,1,0,1,1,0
0,2,8.6666666667,0.6666666667,4,6,1,26,12,0,0,3,0,2,9,4
0,2,9,1,0,0,1,9,9,0,0,1,0,1,1,0
0,2,9,1,0,0,1,9,9,0,0,1,0,1,1,0
0,2,9,1,0,0,1,9,9,0,0,1,0,1,1,0
0,1,2,1,0,0,1,2,2,0,0,1,0,1,1,0
0,2,7,1,0,0,1,7,7,0,0,1,0,1,1,0
0,4,17,1.5,1,0,1,34,24,1,0,2,0,1,6,1
0,3,23,0.6666666667,1,0,1,69,55,1,0,3,1,1,7,1
1,4.7647058824,27.1764705882,1.5882352941,7,0,2,462,106,5,0,17,5,17,82,14
1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
0,3.75,32.25,2.5,2,0,1,129,88,0,0,4,0,4,9,2
0,2,9,0.5,3,5,1,18,12,0,0,2,0,1,6,3
0,5,27.5,1.5,2,0,1,55,42,1,0,2,0,1,8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.5,31,0.5,1,0,1,62,53,0,0,2,0,1,5,1
1,5.8,33.2,0.4,0,0,1,166,101,5,0,5,0,0,16,0
0,7.3333333333,68,5,2,0,1,204,165,1,0,3,0,1,9,2
0,4.5,33.5,3,1,0,2,134,94,1,0,4,0,0,9,2
