"acc","accm","amloc","anpm","cbo","dit","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
0,1,2,0,0,0,1,2,2,0,0,1,0,1,1,0
50,1,1,0,0,0,2,2,1,0,3,2,0,1,2,0
18,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
5,1,1,4,0,2,1,1,1,0,4,1,0,0,1,0
0,1,3,1.5,0,1,2,6,3,0,0,2,0,2,2,0
14,2.1794871795,10.1282051282,0.7948717949,9,2,5,395,50,17,5,39,0,18,141,45
0,1.5,4.75,1,0,2,1,19,10,1,0,4,0,4,8,0
2,2.3333333333,10.1111111111,1.3333333333,2,1,5,91,21,4,1,9,0,2,18,10
0,1.7777777778,31.8888888889,0.3333333333,0,0,9,287,232,6,0,9,0,6,9,0
0,3,11.5,1,1,1,2,23,20,0,0,2,0,2,3,2
0,1.6666666667,7.6666666667,0.8333333333,2,6,6,46,13,3,0,6,0,2,8,12
0,1,3.5,1.5,0,1,2,7,4,0,0,2,0,1,2,0
7,1,1,2.4,0,0,5,5,1,0,1,5,0,4,5,0
3,1.4545454545,7.3636363636,1.0909090909,2,4,11,81,19,2,0,11,0,5,15,22
8,1.8888888889,7.8888888889,0.3333333333,2,0,1,71,40,3,0,9,0,8,24,2
2,1.5714285714,5.4285714286,0.7142857143,2,3,1,38,13,3,1,7,0,7,25,2
2,3.75,20.5,1,3,0,1,82,70,5,1,4,0,3,18,3
2,1.6470588235,6.5882352941,0.4117647059,5,3,1,112,28,11,0,17,0,15,62,5
0,1.25,5,2,4,3,1,20,8,3,0,4,0,2,18,4
2,1.2857142857,4.1428571429,0.1428571429,3,3,1,29,10,2,0,7,0,7,19,3
10,1,1,0,0,2,1,1,1,0,5,1,0,0,1,0
0,1,3.5,0.5,0,2,2,7,4,1,0,2,0,2,2,0
0,2,7,2,2,4,1,7,7,0,0,1,0,1,4,2
0,4.2857142857,35.5714285714,2,4,2,7,249,92,1,0,7,0,3,22,28
0,1,8,1,3,5,1,8,8,0,0,1,0,1,4,3
0,1.3333333333,4.6666666667,1,2,3,2,14,7,1,0,3,0,2,8,4
0,1.3333333333,4.6666666667,1,2,3,2,14,7,1,0,3,0,2,7,4
15,1,1,0,0,1,2,2,1,0,4,2,0,1,2,0
3,4.5,24.4615384615,0.7692307692,1,1,2,636,158,19,0,26,0,6,124,2
1,1,4,2,0,0,1,4,4,2,0,1,0,1,3,0
0,1,3,1,0,0,1,3,3,0,0,1,0,1,1,0
0,1.25,4.75,1,1,3,4,19,8,0,0,4,0,4,7,4
0,1.1666666667,4.5,1.6666666667,1,3,5,27,8,0,0,6,0,5,13,5
0,1.3333333333,4.8333333333,1,1,3,5,29,11,0,0,6,0,5,12,5
0,2.3333333333,8,1,2,0,1,24,10,0,0,3,0,3,10,2
0,1.1666666667,4.3333333333,0.8333333333,1,3,5,26,9,0,0,6,0,4,10,5
7,1.9032258065,12.8387096774,0.9677419355,3,3,31,398,98,8,0,31,0,17,38,93
0,1,3,0.5,0,1,2,6,3,1,0,2,0,2,2,0
0,1.875,6.375,1,1,1,8,51,19,1,0,8,0,6,9,8
0,1.1666666667,4.1666666667,1,0,1,6,25,8,2,0,6,0,6,6,0
0,1,3,0.5714285714,2,4,7,21,3,1,0,7,0,7,13,14
0,1,3.5,1.5,1,3,4,14,5,0,0,4,0,4,7,4
1,1.375,4.75,0.375,1,2,3,38,10,3,0,8,0,8,18,3
9,1,1,0,0,1,4,4,1,0,2,4,0,3,4,0
0,3,12,1,1,0,1,24,18,0,0,2,0,1,4,1
0,3,10.6,1,0,1,4,53,40,2,0,5,0,4,8,0
1,3,13.3333333333,1.3333333333,0,5,3,40,25,1,1,3,0,0,3,0
0,1.4,6,0.8,1,1,5,30,16,2,0,5,0,5,7,5
1,2.125,10.875,1.25,2,1,1,87,34,5,0,8,0,3,23,2
0,1,4.625,1.25,0,2,5,37,14,3,0,8,0,7,14,0
1,1,1,0,0,2,2,2,1,0,1,2,0,1,2,0
2,1.2666666667,4.3333333333,0.2,1,1,7,65,10,4,0,15,0,15,31,7
0,1.5333333333,5.6,0.7333333333,1,1,4,84,20,1,0,15,0,12,36,4
0,1.25,3.75,0,1,1,4,15,6,0,0,4,0,4,5,4
1,1.25,7.5,0.75,0,0,1,30,18,1,0,4,0,4,8,0
8,1.1,4,1,0,1,10,40,17,5,2,10,0,9,10,0
4,1.6666666667,8,1.6666666667,1,2,1,24,15,3,2,3,0,3,11,1
0,1,3,1,2,3,2,6,3,0,0,2,0,2,4,4
0,1,3,1,2,3,2,6,3,0,0,2,0,2,4,4
0,1.6666666667,6.3333333333,1,1,2,1,19,8,4,0,3,0,3,13,1
2,1.1666666667,4.5,0.3333333333,0,2,1,27,11,1,1,6,0,5,12,0
2,1.2,3.8,0.4,0,2,1,19,6,1,1,5,0,4,10,0
1,1.1666666667,4.5,0.6666666667,0,1,2,27,7,2,0,6,0,5,13,0
13,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
24,1,1,1,0,0,1,1,1,1,9,1,1,0,1,0
2,1.4,11,1.6,6,1,1,55,43,0,2,5,0,1,27,6
0,1,3,0.5,0,1,1,6,3,1,0,2,0,2,4,0
1,1.1,5.4,1.1,4,3,2,54,16,5,0,10,0,7,32,8
0,1,3,0.5,0,1,1,6,3,1,0,2,0,2,4,0
0,1.5833333333,10.9166666667,1.3333333333,5,0,5,131,68,2,0,12,1,7,38,25
0,1,9,0,1,2,1,9,9,0,0,1,0,1,3,1
0,1.5714285714,7.2857142857,1.8571428571,1,0,2,51,12,2,0,7,1,5,24,2
1,1,4.3333333333,1.3333333333,1,4,1,13,7,2,0,3,0,3,8,1
0,1,3.5,1,0,1,1,7,4,2,0,2,0,2,4,0
0,2.3333333333,9.6666666667,2.3333333333,5,1,1,29,17,0,0,3,0,1,11,5
0,3.7142857143,24.6428571429,2.9285714286,8,1,1,345,53,32,0,14,0,1,150,8
1,1.6666666667,5.6666666667,0.5,1,2,3,34,19,3,0,6,0,6,13,3
1,1,4,0.6,1,3,1,20,8,3,0,5,0,5,13,1
0,1,3,0.5,0,1,1,6,3,1,0,2,0,2,4,0
0,3,18,3,2,1,1,18,18,1,0,1,0,1,6,2
0,1.6,5.4,0.4,1,2,1,27,8,2,0,5,0,5,16,1
9,1,1,1,0,1,1,1,1,0,2,1,0,0,1,0
5,1.6666666667,7.5,1.3333333333,3,2,6,45,23,4,3,6,0,5,9,18
3,2.2307692308,7.6923076923,0.6153846154,5,2,13,100,44,7,3,13,0,11,20,65
4,1,1,1,0,0,2,2,1,0,4,2,0,1,2,0
0,1.3333333333,4,1.6666666667,1,1,2,12,6,1,0,3,0,3,6,2
7,1,1,1,0,0,3,3,1,0,1,3,0,2,3,0
0,1,3.5,1,1,1,2,7,4,0,0,2,0,2,3,2
0,1,4.5,1,1,2,2,9,5,1,0,2,0,2,3,2
0,3.25,11,0.75,0,1,4,44,20,1,0,4,0,4,4,0
0,1,3,0,0,0,1,6,3,1,0,2,0,1,4,0
0,1,3.5,1,1,1,2,7,4,0,0,2,0,2,3,2
0,1,4,1,1,1,2,8,4,1,0,2,0,2,3,2
0,1,3,1,1,1,2,6,3,0,0,2,0,2,3,2
1,3.2,13.6,1.2,0,2,1,68,23,4,0,5,0,3,15,0
0,1,3.5,1,0,0,2,7,4,0,0,2,0,2,2,0
15,1,1,0.7727272727,0,1,22,22,1,0,1,22,0,21,22,0
58,1.7333333333,6.6444444444,0.8444444444,6,2,42,299,22,9,1,45,1,35,61,252
0,1.3333333333,4.6666666667,0.6666666667,0,0,3,14,7,2,0,3,0,3,4,0
2,1,1,1,0,0,2,2,1,0,2,2,0,1,2,0
2,1,1,3,0,0,1,1,1,0,1,1,0,0,1,0
