"acc","accm","amloc","anpm","anpm_kurtosis","cbo","dit","dit_kurtosis","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
12,1,1,1.3333333333,,0,0,,3,3,1,4,4,3,4,3,3,0
10,1.6,6.6,0.6,,1,3,,1,33,21,2,5,5,0,5,12,1
22,2.9090909091,14.7272727273,0.8181818182,,1,2,,2,162,125,5,10,11,0,11,31,2
31,1.6842105263,6.8421052632,0.8421052632,,0,1,,2,130,19,10,3,19,0,11,70,0
0,1.9230769231,8.3846153846,0.4615384615,,1,3,,1,109,73,6,0,13,0,13,33,1
0,1,3.6666666667,0.3333333333,,0,3,,1,11,5,1,0,3,0,3,6,0
0,1.9,7,0.4333333333,,1,3,,3,210,60,14,0,30,0,28,85,3
2,1,3,0.5,,0,0,,2,12,3,2,0,4,0,4,8,0
0,1.6774193548,5.1290322581,0.4193548387,,0,1,,1,159,51,13,0,31,0,27,77,0
0,2.1111111111,8.3333333333,0.7777777778,,3,3,,1,75,42,3,0,9,0,8,29,3
0,1.2380952381,4.0952380952,0.4285714286,,0,1,,1,86,14,9,0,21,0,19,52,0
0,2,8,1,,2,3,,1,32,14,1,0,4,0,3,15,2
0,1.8571428571,7.7142857143,0.8571428571,,2,3,,1,54,27,2,0,7,0,6,24,2
0,4.2,17.2,1.6,,2,3,,1,86,38,1,0,5,0,3,20,2
0,1.6363636364,6.2727272727,0.9090909091,,1,3,,1,69,17,4,0,11,0,9,32,1
12,2.625,9.2,0.9,,1,2,,1,368,68,16,6,40,2,33,116,1
0,2,8.5,1.5,,2,3,,1,17,9,0,0,2,0,1,7,2
0,1.4,5.6,0.4,,1,3,,1,28,16,2,0,5,0,5,12,1
0,1.6666666667,7.3333333333,0.3333333333,,1,3,,1,22,16,1,0,3,0,3,7,1
0,1.2857142857,5.1428571429,0.4285714286,,1,3,,1,36,18,3,0,7,0,7,17,1
0,1,6,0,,0,3,,1,6,6,0,0,1,0,1,1,0
0,1,6,0,,1,4,,1,6,6,0,0,1,0,1,2,1
0,1.6666666667,7.3333333333,0.3333333333,,1,3,,1,22,16,1,0,3,0,3,7,1
0,1,6,0,,0,3,,1,6,6,0,0,1,0,1,1,0
0,1.25,5,0.5,,1,4,,1,20,8,1,0,4,0,4,9,1
0,1,6,0,,1,4,,1,6,6,0,0,1,0,1,2,1
0,1,6,0,,1,4,,1,6,6,0,0,1,0,1,2,1
0,1,6,0,,1,4,,1,6,6,0,0,1,0,1,2,1
0,2.3333333333,14.6666666667,0.3333333333,,2,2,,1,44,38,1,0,3,0,3,11,2
2,1,1,2,,0,0,,1,1,1,0,1,1,0,1,1,0
8,1,1,2,,0,0,,3,3,1,0,1,3,0,3,3,0
12,3.0967741935,14.935483871,1,,16,4,,3,463,172,16,6,31,0,24,133,48
0,6,43.5,1,,7,5,,2,87,84,1,0,2,0,1,21,14
1,1.8,10.95,0.8,,7,5,,4,219,74,10,0,20,0,14,74,28
1,4.8333333333,29,1.5,,4,0,,1,174,117,16,0,6,0,6,57,4
1,1.6666666667,7.6666666667,1,,0,0,,1,23,15,4,0,3,0,3,10,0
0,6.3333333333,40.75,1.3333333333,,15,5,,2,489,217,3,0,12,0,5,98,30
0,4,23.5,1,,4,5,,2,47,44,0,0,2,0,1,8,8
1,1.1052631579,3.4736842105,0.5789473684,,0,0,,9,66,8,9,0,19,0,19,38,0
2,3.4666666667,19.4666666667,1.7333333333,,7,4,,3,292,70,4,1,15,0,7,84,21
1,1.4,5.4,1.1,,1,0,,2,54,11,6,0,10,0,10,29,2
0,4.1111111111,25.8888888889,0.5555555556,,8,5,,3,233,175,4,0,9,0,7,39,24
0,6,46.5,1,,6,5,,2,93,90,0,0,2,0,1,11,12
8,1,1,0.625,,0,0,,8,8,1,0,1,8,0,8,8,0
2,1,1,0.1666666667,,0,0,,6,6,1,0,1,6,0,6,6,0
5,1,1,2,,0,1,,1,1,1,0,2,1,0,1,1,0
1,1,1,1,,0,0,,1,1,1,0,1,1,0,1,1,0
0,1,1,1,,0,1,,1,1,1,0,0,1,0,1,1,0
0,1,3,1,,0,1,,4,12,3,1,0,4,0,4,4,0
1,1.3636363636,5.3636363636,0.4545454545,,2,1,,2,59,13,5,0,11,0,11,30,4
9,1.5151515152,10.9393939394,0.4545454545,,6,3,,8,722,247,27,0,66,1,57,198,48
0,10.5625,74.9375,1.875,,22,2,,2,1199,268,9,0,16,1,8,202,44
1,2.25,13.6666666667,0.75,,1,1,,3,164,30,1,0,12,0,9,30,3
1,1,3.6,0.7,,1,1,,2,36,4,1,0,10,0,7,25,2
0,1,5.3333333333,0.3333333333,,0,1,,1,16,8,2,0,3,0,3,6,0
1,2.0769230769,8.7692307692,0.5384615385,,1,1,,3,114,68,4,0,13,0,11,38,3
1,1.3793103448,5.3103448276,0.8965517241,,1,1,,2,154,13,3,0,29,0,26,77,2
0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
1,1.976744186,9.488372093,0.7906976744,,2,1,,43,408,35,2,0,43,0,42,78,86
